tpc_grp,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id
1_palme2025,35.2401, lobifera ,1.40117994100295e-11,3.3849557522123896e-12,15,gpp,palme2025
1_palme2025,35.2401, lobifera ,2.064896755162242e-11,2.5073746312684368e-12,19,gpp,palme2025
1_palme2025,35.2401, lobifera ,2.1091445427728615e-11,4.646017699115044e-12,23,gpp,palme2025
1_palme2025,35.2401, lobifera ,1.5339233038348085e-11,6.3200589970501486e-12,27,gpp,palme2025
1_palme2025,35.2401, lobifera ,1.1843657817109145e-11,1.976401179941003e-12,31,gpp,palme2025
1_palme2025,35.2401, lobifera ,-5.929203539823009e-12,1.480825958702065e-11,35,gpp,palme2025
2_deldicq2025,50.3722,germanica,7.86290710176991e-6,3.5006584915180213e-6,6,gpp,deldicq2025
2_deldicq2025,50.3722,germanica,7.564575933628317e-6,1.437770452046824e-6,12,gpp,deldicq2025
2_deldicq2025,50.3722,germanica,8.5172927359882e-6,3.9799153098888215e-6,18,gpp,deldicq2025
2_deldicq2025,50.3722,germanica,1.1346976861356931e-5,2.0420507869317327e-6,24,gpp,deldicq2025
2_deldicq2025,50.3722,germanica,3.5414541725663712e-06,1.8753527632949785e-6,30,gpp,deldicq2025
2_deldicq2025,50.3722,germanica,2.7619072595870205e-6,2.9172154091725764e-7,36,gpp,deldicq2025
7_fujita2014,26.4,sphaerulata,1.3401102433333335e-14,NA,5,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,-3.8442265e-15,NA,10,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,3.9823895766666664e-14,NA,10,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,5.896151003333333e-14,NA,15,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,4.003865703333334e-14,NA,15,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,3.78552509e-14,NA,15,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,6.416350490000001e-14,NA,17,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,6.646145036666667e-14,NA,20,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,1.1231297873333335e-13,NA,20,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,1.6908153766666667e-13,NA,20,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,2.848020617e-13,NA,20,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,2.739924117666667e-13,NA,22,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,3.461521941666667e-13,NA,25,gpp,fujita2014
7_fujita2014,26.4,sphaerulata,2.9375044743333337e-13,NA,25,gpp,fujita2014
