tpc_grp,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id
1_fujita2014,26.4,sphaerulata,7.578686133333334e-15,NA,5,npp,fujita2014
1_fujita2014,26.4,sphaerulata,-7.483236700000001e-15,NA,10,npp,fujita2014
1_fujita2014,26.4,sphaerulata,1.4350824433333333e-14,NA,10,npp,fujita2014
1_fujita2014,26.4,sphaerulata,5.605030186666667e-14,NA,15,npp,fujita2014
1_fujita2014,26.4,sphaerulata,3.421624073333334e-14,NA,15,npp,fujita2014
1_fujita2014,26.4,sphaerulata,1.45655857e-14,NA,15,npp,fujita2014
1_fujita2014,26.4,sphaerulata,2.7773403000000004e-14,NA,17,npp,fujita2014
1_fujita2014,26.4,sphaerulata,4.753859736666666e-14,NA,20,npp,fujita2014
1_fujita2014,26.4,sphaerulata,8.683990740000001e-14,NA,20,npp,fujita2014
1_fujita2014,26.4,sphaerulata,1.0867396853333334e-13,NA,20,npp,fujita2014
1_fujita2014,26.4,sphaerulata,1.8290977640000003e-13,NA,20,npp,fujita2014
1_fujita2014,26.4,sphaerulata,2.0048440593333335e-13,NA,22,npp,fujita2014
1_fujita2014,26.4,sphaerulata,3.0976209226666673e-13,NA,25,npp,fujita2014
1_fujita2014,26.4,sphaerulata,2.4207650273333333e-13,NA,25,npp,fujita2014
1_fujita2014,26.4,sphaerulata,2.2679265993333334e-13,NA,25,npp,fujita2014
1_fujita2014,26.4,sphaerulata,2.0932541103333333e-13,NA,25,npp,fujita2014
1_fujita2014,26.4,sphaerulata,1.70024101e-13,NA,25,npp,fujita2014
1_fujita2014,26.4,sphaerulata,1.4382322763333335e-13,NA,25,npp,fujita2014
1_fujita2014,26.4,sphaerulata,4.36614408e-13,NA,30,npp,fujita2014
1_fujita2014,26.4,sphaerulata,3.7547903700000005e-13,NA,30,npp,fujita2014
1_fujita2014,26.4,sphaerulata,3.143436657333334e-13,NA,30,npp,fujita2014
1_fujita2014,26.4,sphaerulata,2.946930107e-13,NA,30,npp,fujita2014
1_fujita2014,26.4,sphaerulata,2.401078578666667e-13,NA,30,npp,fujita2014
1_fujita2014,26.4,sphaerulata,3.1238217960000003e-13,NA,35,npp,fujita2014
1_fujita2014,26.4,sphaerulata,2.730808695333333e-13,NA,35,npp,fujita2014
1_fujita2014,26.4,sphaerulata,2.403297778333334e-13,NA,35,npp,fujita2014
1_fujita2014,26.4,sphaerulata,1.7482759443333335e-13,NA,35,npp,fujita2014
1_fujita2014,26.4,sphaerulata,-1.7204762933333333e-14,NA,37,npp,fujita2014
1_fujita2014,26.4,sphaerulata,4.404514760000001e-14,NA,40,npp,fujita2014
1_fujita2014,26.4,sphaerulata,-2.1457035833333335e-14,NA,40,npp,fujita2014
1_fujita2014,26.4,sphaerulata,-9.984489463333334e-14,NA,45,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,-1.4184396999999999e-15,NA,5,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.1347517733333334e-14,NA,10,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,7.092198566666667e-15,NA,10,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,2.8368794333333336e-14,NA,15,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.9858156033333334e-14,NA,15,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,7.092198566666667e-15,NA,15,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,3.262411346666667e-14,NA,18,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,9.432624113333334e-14,NA,20,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,5.815602836666667e-14,NA,20,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,4.964539006666667e-14,NA,20,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,3.6879432633333334e-14,NA,20,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,2.411347516666667e-14,NA,20,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.0283687943333333e-13,NA,23,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.8156028370000002e-13,NA,25,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.475177305e-13,NA,25,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.3049645390000002e-13,NA,25,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.1347517730000001e-13,NA,25,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,9.645390069999999e-14,NA,25,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,2.0921985816666667e-13,NA,30,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.8156028370000002e-13,NA,30,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.645390071e-13,NA,30,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.560283688e-13,NA,30,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.964539007e-13,NA,35,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,1.3049645390000002e-13,NA,35,npp,fujita2014
3_fujita2014,26.4,gaudichaudii,9.219858156666668e-14,NA,35,npp,fujita2014
