tpc_grp,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id,mol_grammin
1_fujita2014,26.4,sphaerulata,-5.8224162999999995e-15,NA,5,r,fujita2014,5.8224162999999995e-15
2_fujita2014,26.4,sphaerulata,-3.6390102e-15,NA,10,r,fujita2014,3.6390102e-15
2_fujita2014,26.4,sphaerulata,-2.5473071333333333e-14,NA,10,r,fujita2014,2.5473071333333333e-14
2_fujita2014,26.4,sphaerulata,2.9112081666666672e-15,NA,15,r,fujita2014,2.9112081666666672e-15
2_fujita2014,26.4,sphaerulata,-5.8224162999999995e-15,NA,15,r,fujita2014,5.8224162999999995e-15
2_fujita2014,26.4,sphaerulata,-2.3289665199999998e-14,NA,15,r,fujita2014,2.3289665199999998e-14
2_fujita2014,26.4,sphaerulata,-3.63901019e-14,NA,17,r,fujita2014,3.63901019e-14
2_fujita2014,26.4,sphaerulata,-1.8922853e-14,NA,20,r,fujita2014,1.8922853e-14
2_fujita2014,26.4,sphaerulata,-2.5473071333333333e-14,NA,20,r,fujita2014,2.5473071333333333e-14
2_fujita2014,26.4,sphaerulata,-6.040756913333333e-14,NA,20,r,fujita2014,6.040756913333333e-14
2_fujita2014,26.4,sphaerulata,-1.018922853e-13,NA,20,r,fujita2014,1.018922853e-13
2_fujita2014,26.4,sphaerulata,-7.350800583333334e-14,NA,23,r,fujita2014,7.350800583333334e-14
2_fujita2014,26.4,sphaerulata,-3.63901019e-14,NA,25,r,fujita2014,3.63901019e-14
2_fujita2014,26.4,sphaerulata,-5.167394470000001e-14,NA,25,r,fujita2014,5.167394470000001e-14
2_fujita2014,26.4,sphaerulata,-5.822416303333333e-14,NA,25,r,fujita2014,5.822416303333333e-14
2_fujita2014,26.4,sphaerulata,-7.569141193333334e-14,NA,25,r,fujita2014,7.569141193333334e-14
2_fujita2014,26.4,sphaerulata,-8.44250364e-14,NA,25,r,fujita2014,8.44250364e-14
2_fujita2014,26.4,sphaerulata,-1.0625909753333334e-13,NA,25,r,fujita2014,1.0625909753333334e-13
2_fujita2014,26.4,sphaerulata,-5.38573508e-14,NA,30,r,fujita2014,5.38573508e-14
2_fujita2014,26.4,sphaerulata,-6.914119360000001e-14,NA,30,r,fujita2014,6.914119360000001e-14
2_fujita2014,26.4,sphaerulata,-1.2809315866666667e-13,NA,30,r,fujita2014,1.2809315866666667e-13
2_fujita2014,26.4,sphaerulata,-2.001455604e-13,NA,30,r,fujita2014,2.001455604e-13
2_fujita2014,26.4,sphaerulata,-3.2023289666666666e-14,NA,35,r,fujita2014,3.2023289666666666e-14
2_fujita2014,26.4,sphaerulata,-4.0756914133333335e-14,NA,35,r,fujita2014,4.0756914133333335e-14
2_fujita2014,26.4,sphaerulata,-7.787481803333334e-14,NA,35,r,fujita2014,7.787481803333334e-14
2_fujita2014,26.4,sphaerulata,-6.695778746666667e-14,NA,37,r,fujita2014,6.695778746666667e-14
2_fujita2014,26.4,sphaerulata,-4.0756914133333335e-14,NA,40,r,fujita2014,4.0756914133333335e-14
2_fujita2014,26.4,sphaerulata,-8.879184863333334e-14,NA,40,r,fujita2014,8.879184863333334e-14
2_fujita2014,26.4,sphaerulata,-1.0189228533333334e-14,NA,45,r,fujita2014,1.0189228533333334e-14
4_fujita2014,26.4,gaudichaudii,-3.5460993000000003e-15,NA,5,r,fujita2014,3.5460993000000003e-15
4_fujita2014,26.4,gaudichaudii,-3.5460993000000003e-15,NA,10,r,fujita2014,3.5460993000000003e-15
4_fujita2014,26.4,gaudichaudii,-2.4822695033333336e-14,NA,10,r,fujita2014,2.4822695033333336e-14
4_fujita2014,26.4,gaudichaudii,-5.673758866666667e-15,NA,15,r,fujita2014,5.673758866666667e-15
4_fujita2014,26.4,gaudichaudii,-1.4184397166666668e-14,NA,15,r,fujita2014,1.4184397166666668e-14
4_fujita2014,26.4,gaudichaudii,-2.05673759e-14,NA,15,r,fujita2014,2.05673759e-14
4_fujita2014,26.4,gaudichaudii,-3.7588652466666664e-14,NA,18,r,fujita2014,3.7588652466666664e-14
4_fujita2014,26.4,gaudichaudii,-2.2695035466666668e-14,NA,20,r,fujita2014,2.2695035466666668e-14
4_fujita2014,26.4,gaudichaudii,-3.3333333333333334e-14,NA,20,r,fujita2014,3.3333333333333334e-14
4_fujita2014,26.4,gaudichaudii,-4.6099290766666665e-14,NA,20,r,fujita2014,4.6099290766666665e-14
4_fujita2014,26.4,gaudichaudii,-4.6099290766666665e-14,NA,22,r,fujita2014,4.6099290766666665e-14
4_fujita2014,26.4,gaudichaudii,-2.4822695033333336e-14,NA,25,r,fujita2014,2.4822695033333336e-14
4_fujita2014,26.4,gaudichaudii,-3.7588652466666664e-14,NA,25,r,fujita2014,3.7588652466666664e-14
4_fujita2014,26.4,gaudichaudii,-5.035460993333334e-14,NA,25,r,fujita2014,5.035460993333334e-14
4_fujita2014,26.4,gaudichaudii,-5.886524823333333e-14,NA,25,r,fujita2014,5.886524823333333e-14
4_fujita2014,26.4,gaudichaudii,-3.54609929e-14,NA,30,r,fujita2014,3.54609929e-14
4_fujita2014,26.4,gaudichaudii,-4.39716312e-14,NA,30,r,fujita2014,4.39716312e-14
4_fujita2014,26.4,gaudichaudii,-6.312056736666667e-14,NA,30,r,fujita2014,6.312056736666667e-14
4_fujita2014,26.4,gaudichaudii,-8.652482270000001e-14,NA,30,r,fujita2014,8.652482270000001e-14
4_fujita2014,26.4,gaudichaudii,-3.5460993000000003e-15,NA,35,r,fujita2014,3.5460993000000003e-15
4_fujita2014,26.4,gaudichaudii,-3.1205673766666666e-14,NA,35,r,fujita2014,3.1205673766666666e-14
4_fujita2014,26.4,gaudichaudii,-4.6099290766666665e-14,NA,35,r,fujita2014,4.6099290766666665e-14
4_fujita2014,26.4,gaudichaudii,-5.673758866666667e-14,NA,35,r,fujita2014,5.673758866666667e-14
4_fujita2014,26.4,gaudichaudii,-3.54609929e-14,NA,38,r,fujita2014,3.54609929e-14
4_fujita2014,26.4,gaudichaudii,-4.822695036666667e-14,NA,40,r,fujita2014,4.822695036666667e-14
4_fujita2014,26.4,gaudichaudii,-6.524822696666667e-14,NA,40,r,fujita2014,6.524822696666667e-14
4_fujita2014,26.4,gaudichaudii,-2.90780142e-14,NA,45,r,fujita2014,2.90780142e-14
6_fujita2014,26.2,kudakajimensis,-3.971631206666667e-14,NA,5,r,fujita2014,3.971631206666667e-14
6_fujita2014,26.2,kudakajimensis,-6.524822696666667e-14,NA,10,r,fujita2014,6.524822696666667e-14
6_fujita2014,26.2,kudakajimensis,-3.971631206666667e-14,NA,10,r,fujita2014,3.971631206666667e-14
6_fujita2014,26.2,kudakajimensis,9.219858166666668e-15,NA,10,r,fujita2014,9.219858166666668e-15
