rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,tpc_grp,e_se,metabolic_category
8.021653285105013e-6,29.237000000000002,-12.042,83.099,0.4360056350550204,NA,1.8259956914110722,53.862,95.141,15.36,NA,1_deldicq2025,0.5483727914322238,r
7.148069831778867e-12,28.523,17.048000000000002,74.557,0.6653857256155535,NA,2.437277494246324,46.034000000000006,57.509,8.182000000000002,NA,3_palme2025,3.587950019875777,r
6.519603407126198e-14,31.186,5.509999999999998,Inf,0.7419435825594263,0.3769393527819173,2.6483827436133653,Inf,Inf,29.398,0.36500422977750896,2_fujita2014,4.741205361645319,r
4.351064282484416e-14,45,2.855000000000004,Inf,0.17793496378327606,NA,1.2489030584147216,Inf,Inf,27.563000000000002,NA,4_fujita2014,2.6569503126200487,r
1.3614849315266432e-13,45,2.4510000000000005,Inf,0.21376487950570358,NA,1.305704176437004,Inf,Inf,27.753999999999998,NA,6_fujita2014,2.8409942416484526,r
2.4972957422311598e-11,29.795,#NAME?,36.391999999999996,0.1566896955583912,NA,1.2261853753581833,6.596999999999994,Inf,15.829999999999998,NA,2_palme2025,0.15792886586576793,npp
1.9296172313330406e-13,33.199,5.2479999999999976,Inf,0.864253273,10.107499018736556,3.100031510563551,Inf,Inf,28.517,-9.243245745,1_fujita2014,3.719902952486648,npp
1.0580781465311436e-13,44.982,3.057000000000002,Inf,0.22626185690292375,NA,1.324541822563491,Inf,Inf,27.58,NA,3_fujita2014,3.696812791109228,npp
3.943560660224035e-13,21.735,5.959000000000003,Inf,1.046912877724781,0.27906224951310515,4.254039937614932,Inf,Inf,21.02,0.7678506282116757,5_fujita2014,1.9711624065200934,npp
2.163602367869136e-11,20.971,2.8560000000000016,58.986000000000004,NA,0.6933436800700514,NA,38.015,56.13,9.553,NA,1_palme2025,0.3467671512781408,gpp
1.050724211753436e-5,20.165,-23.098,47.538000000000004,0.048520853,1.225666967,1.0726757498613257,27.373000000000005,70.636,13.222999999999999,-1.177146113,2_deldicq2025,0.7563610329594276,gpp
2.53391326837711e-13,26.448,4.625999999999998,Inf,1.0664442364723536,1.1604536587282983,4.1829550791442065,Inf,Inf,28.421,-0.094009422,7_fujita2014,3.0251149409344054,gpp
1.4953755616790683e-13,23.567,3.6030000000000015,Inf,1.268765321534726,0.43665079553117575,NA,Inf,Inf,26.013000000000005,0.8321145260035503,8_fujita2014,2.3503722915289935,gpp
5.17165224661571e-13,21.76,4.730000000000004,Inf,1.0823973296131637,0.2733116018673991,4.458666382717065,Inf,Inf,20.158,0.8090857277457646,9_fujita2014,2.2786249569625996,gpp
