tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id
5_nakamura2003,shallow,hard,34.36,pruinosa,1.3071548130081299e-9,4.988079956097561e-10,12,hermatypic coral,gpp,nakamura2003
5_nakamura2003,shallow,hard,34.36,pruinosa,2.4383115853658533e-9,4.987561552032519e-10,14,hermatypic coral,gpp,nakamura2003
5_nakamura2003,shallow,hard,34.36,pruinosa,3.422708282926829e-9,6.894768594308944e-10,16,hermatypic coral,gpp,nakamura2003
5_nakamura2003,shallow,hard,34.36,pruinosa,4.289738394308943e-9,7.922244635772358e-10,18,hermatypic coral,gpp,nakamura2003
5_nakamura2003,shallow,hard,34.36,pruinosa,4.8046687430894305e-9,8.06947127398374e-10,20,hermatypic coral,gpp,nakamura2003
5_nakamura2003,shallow,hard,34.36,pruinosa,5.142097681300813e-9,9.976159910569106e-10,20,hermatypic coral,gpp,nakamura2003
5_nakamura2003,shallow,hard,34.36,pruinosa,5.818407087804877e-9,4.401247020325203e-10,22,hermatypic coral,gpp,nakamura2003
5_nakamura2003,shallow,hard,34.36,pruinosa,6.494820175609756e-9,6.455162295934959e-10,24,hermatypic coral,gpp,nakamura2003
5_nakamura2003,shallow,hard,34.36,pruinosa,6.7603465268292684e-9,7.335411700000001e-10,26,hermatypic coral,gpp,nakamura2003
5_nakamura2003,shallow,hard,34.36,pruinosa,7.3192893463414625e-9,7.482119934146342e-10,28,hermatypic coral,gpp,nakamura2003
5_nakamura2003,shallow,hard,34.36,pruinosa,7.379476010569106e-9,1.1003117552845528e-9,30,hermatypic coral,gpp,nakamura2003
6_nakamura2003,shallow,hard,34.36,pruinosa,2.7742371528455282e-9,5.428723061788619e-10,12,hermatypic coral,gpp,nakamura2003
6_nakamura2003,shallow,hard,34.36,pruinosa,4.154746082926829e-9,4.1078305520325204e-10,14,hermatypic coral,gpp,nakamura2003
6_nakamura2003,shallow,hard,34.36,pruinosa,4.816436506504065e-9,3.8144140837398367e-10,16,hermatypic coral,gpp,nakamura2003
6_nakamura2003,shallow,hard,34.36,pruinosa,5.214000268292682e-9,2.3473317439024387e-10,18,hermatypic coral,gpp,nakamura2003
6_nakamura2003,shallow,hard,34.36,pruinosa,5.699640811382113e-9,1.1736658723577236e-9,20,hermatypic coral,gpp,nakamura2003
6_nakamura2003,shallow,hard,34.36,pruinosa,5.846297204878049e-9,1.0269576382113822e-9,20,hermatypic coral,gpp,nakamura2003
6_nakamura2003,shallow,hard,34.36,pruinosa,6.816074919512195e-9,1.3937282227642275e-9,22,hermatypic coral,gpp,nakamura2003
6_nakamura2003,shallow,hard,34.36,pruinosa,7.521777813821137e-9,1.2176783422764227e-9,24,hermatypic coral,gpp,nakamura2003
6_nakamura2003,shallow,hard,34.36,pruinosa,7.75796251788618e-9,1.3497157528455283e-9,26,hermatypic coral,gpp,nakamura2003
6_nakamura2003,shallow,hard,34.36,pruinosa,8.434271926829268e-9,1.1883885357723576e-9,28,hermatypic coral,gpp,nakamura2003
6_nakamura2003,shallow,hard,34.36,pruinosa,7.2620575829268285e-9,7.628828168292682e-10,30,hermatypic coral,gpp,nakamura2003
1_becker2021,shallow,hard,-17.5388,spp.,5.419498536585365e-11,NA,20,hermatypic coral,gpp,becker2021
1_becker2021,shallow,hard,-17.5388,spp.,6.644367552845528e-11,NA,22,hermatypic coral,gpp,becker2021
1_becker2021,shallow,hard,-17.5388,spp.,8.179578073170731e-11,NA,24,hermatypic coral,gpp,becker2021
1_becker2021,shallow,hard,-17.5388,spp.,9.530748048780487e-11,NA,28,hermatypic coral,gpp,becker2021
1_becker2021,shallow,hard,-17.5388,spp.,9.226156943089431e-11,NA,30,hermatypic coral,gpp,becker2021
1_becker2021,shallow,hard,-17.5388,spp.,8.565603926829268e-11,NA,32,hermatypic coral,gpp,becker2021
1_becker2021,shallow,hard,-17.5388,spp.,7.980036260162601e-11,NA,34,hermatypic coral,gpp,becker2021
1_becker2021,shallow,hard,-17.5388,spp.,5.978560772357723e-11,NA,36,hermatypic coral,gpp,becker2021
1_becker2021,shallow,hard,-17.5388,spp.,3.034014227642276e-11,NA,37,hermatypic coral,gpp,becker2021
2_becker2021,shallow,hard,-17.5388,spp.,4.140776674796748e-11,NA,20,hermatypic coral,gpp,becker2021
2_becker2021,shallow,hard,-17.5388,spp.,5.3372459024390244e-11,NA,22,hermatypic coral,gpp,becker2021
2_becker2021,shallow,hard,-17.5388,spp.,5.90456656910569e-11,NA,24,hermatypic coral,gpp,becker2021
2_becker2021,shallow,hard,-17.5388,spp.,7.478244617886178e-11,NA,28,hermatypic coral,gpp,becker2021
2_becker2021,shallow,hard,-17.5388,spp.,7.601511471544715e-11,NA,30,hermatypic coral,gpp,becker2021
2_becker2021,shallow,hard,-17.5388,spp.,7.825684544715447e-11,NA,32,hermatypic coral,gpp,becker2021
2_becker2021,shallow,hard,-17.5388,spp.,7.219903081300813e-11,NA,34,hermatypic coral,gpp,becker2021
2_becker2021,shallow,hard,-17.5388,spp.,4.03888481300813e-11,NA,36,hermatypic coral,gpp,becker2021
2_becker2021,shallow,hard,-17.5388,spp.,1.5767064146341462e-11,NA,37,hermatypic coral,gpp,becker2021
3_becker2021,shallow,hard,-17.5388,spp.,4.692468463414634e-11,NA,20,hermatypic coral,gpp,becker2021
3_becker2021,shallow,hard,-17.5388,spp.,5.6289713658536576e-11,NA,22,hermatypic coral,gpp,becker2021
3_becker2021,shallow,hard,-17.5388,spp.,6.984879528455284e-11,NA,24,hermatypic coral,gpp,becker2021
3_becker2021,shallow,hard,-17.5388,spp.,8.949527780487805e-11,NA,28,hermatypic coral,gpp,becker2021
3_becker2021,shallow,hard,-17.5388,spp.,8.562480211382114e-11,NA,30,hermatypic coral,gpp,becker2021
3_becker2021,shallow,hard,-17.5388,spp.,8.076707999999999e-11,NA,32,hermatypic coral,gpp,becker2021
3_becker2021,shallow,hard,-17.5388,spp.,7.36861330894309e-11,NA,34,hermatypic coral,gpp,becker2021
3_becker2021,shallow,hard,-17.5388,spp.,3.748866593495935e-11,NA,36,hermatypic coral,gpp,becker2021
3_becker2021,shallow,hard,-17.5388,spp.,9.686964552845527e-12,NA,37,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,6.10510812195122e-11,NA,20,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,7.372822430894309e-11,NA,22,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,8.769049756097561e-11,NA,24,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,1.087085762601626e-10,NA,28,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,9.558077113821138e-11,NA,30,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,1.0644125715447154e-10,NA,32,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,1.0507721471544716e-10,NA,34,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,8.145583601626014e-11,NA,36,hermatypic coral,gpp,becker2021
4_becker2021,shallow,hard,-17.5388,spp.,2.674300756097561e-11,NA,37,hermatypic coral,gpp,becker2021
5_becker2021,shallow,hard,-17.5388,spp.,4.480607731707317e-11,NA,20,hermatypic coral,gpp,becker2021
5_becker2021,shallow,hard,-17.5388,spp.,4.8177349593495934e-11,NA,22,hermatypic coral,gpp,becker2021
