tpc_grp,response_id,study_id,depth_broad,broad_coral,latitude,species,mol_gCmin,metabolic_category
1_howe2001,1,howe2001,shallow,hard,-38.15,versipora,1.2097030303030302e-8,npp
1_howe2001,1,howe2001,shallow,hard,-38.15,versipora,1.9724151515151516e-8,npp
1_howe2001,1,howe2001,shallow,hard,-38.15,versipora,4.3670333333333336e-8,npp
1_howe2001,1,howe2001,shallow,hard,-38.15,versipora,3.206686363636364e-8,npp
1_howe2001,1,howe2001,shallow,hard,-38.15,versipora,2.8390916666666667e-8,npp
1_nakamura2003,1,nakamura2003,shallow,hard,34.36,pruinosa,8.09470687121212e-10,npp
1_nakamura2003,1,nakamura2003,shallow,hard,34.36,pruinosa,1.632873570454545e-9,npp
1_nakamura2003,1,nakamura2003,shallow,hard,34.36,pruinosa,2.3308365636363635e-9,npp
1_nakamura2003,1,nakamura2003,shallow,hard,34.36,pruinosa,3.1124428553030302e-9,npp
1_nakamura2003,1,nakamura2003,shallow,hard,34.36,pruinosa,3.5318120174242422e-9,npp
1_nakamura2003,1,nakamura2003,shallow,hard,34.36,pruinosa,4.257739636363636e-9,npp
1_nakamura2003,1,nakamura2003,shallow,hard,34.36,pruinosa,4.8177838984848494e-9,npp
1_nakamura2003,1,nakamura2003,shallow,hard,34.36,pruinosa,5.3904573469696974e-9,npp
1_nakamura2003,1,nakamura2003,shallow,hard,34.36,pruinosa,4.876319173484848e-9,npp
2_nakamura2003,2,nakamura2003,shallow,hard,34.36,pruinosa,1.9100641583333335e-9,npp
2_nakamura2003,2,nakamura2003,shallow,hard,34.36,pruinosa,2.9145856075757574e-9,npp
2_nakamura2003,2,nakamura2003,shallow,hard,34.36,pruinosa,3.3061404909090903e-9,npp
2_nakamura2003,2,nakamura2003,shallow,hard,34.36,pruinosa,3.530458890151515e-9,npp
2_nakamura2003,2,nakamura2003,shallow,hard,34.36,pruinosa,3.754727174242424e-9,npp
2_nakamura2003,2,nakamura2003,shallow,hard,34.36,pruinosa,4.299486112121211e-9,npp
2_nakamura2003,2,nakamura2003,shallow,hard,34.36,pruinosa,4.649194287878788e-9,npp
2_nakamura2003,2,nakamura2003,shallow,hard,34.36,pruinosa,4.608851054545454e-9,npp
2_nakamura2003,2,nakamura2003,shallow,hard,34.36,pruinosa,4.387289025e-9,npp
2_nakamura2003,2,nakamura2003,shallow,hard,34.36,pruinosa,3.357709666666666e-9,npp
17_becker2021,17,becker2021,shallow,hard,-17.5388,spp.,2.5374137272727273e-11,npp
17_becker2021,17,becker2021,shallow,hard,-17.5388,spp.,3.825540613636363e-11,npp
17_becker2021,17,becker2021,shallow,hard,-17.5388,spp.,4.9426054090909076e-11,npp
17_becker2021,17,becker2021,shallow,hard,-17.5388,spp.,5.275792681818181e-11,npp
17_becker2021,17,becker2021,shallow,hard,-17.5388,spp.,4.915191484848485e-11,npp
17_becker2021,17,becker2021,shallow,hard,-17.5388,spp.,4.2722052424242426e-11,npp
17_becker2021,17,becker2021,shallow,hard,-17.5388,spp.,3.2737393863636364e-11,npp
17_becker2021,17,becker2021,shallow,hard,-17.5388,spp.,1.4595562651515152e-11,npp
17_becker2021,17,becker2021,shallow,hard,-17.5388,spp.,-8.987345757575757e-12,npp
18_becker2021,18,becker2021,shallow,hard,-17.5388,spp.,1.2508622348484848e-11,npp
18_becker2021,18,becker2021,shallow,hard,-17.5388,spp.,2.7156543939393935e-11,npp
18_becker2021,18,becker2021,shallow,hard,-17.5388,spp.,3.0562157575757566e-11,npp
18_becker2021,18,becker2021,shallow,hard,-17.5388,spp.,4.10031403030303e-11,npp
18_becker2021,18,becker2021,shallow,hard,-17.5388,spp.,3.723732712121212e-11,npp
18_becker2021,18,becker2021,shallow,hard,-17.5388,spp.,3.5711240833333334e-11,npp
18_becker2021,18,becker2021,shallow,hard,-17.5388,spp.,2.4889446439393935e-11,npp
18_becker2021,18,becker2021,shallow,hard,-17.5388,spp.,2.2708761363636363e-12,npp
18_becker2021,18,becker2021,shallow,hard,-17.5388,spp.,-1.8074151212121208e-11,npp
19_becker2021,19,becker2021,shallow,hard,-17.5388,spp.,2.737001636363636e-11,npp
19_becker2021,19,becker2021,shallow,hard,-17.5388,spp.,3.6789638484848485e-11,npp
19_becker2021,19,becker2021,shallow,hard,-17.5388,spp.,4.6082330303030294e-11,npp
19_becker2021,19,becker2021,shallow,hard,-17.5388,spp.,5.940698803030302e-11,npp
19_becker2021,19,becker2021,shallow,hard,-17.5388,spp.,5.498616553030303e-11,npp
19_becker2021,19,becker2021,shallow,hard,-17.5388,spp.,4.8102195833333325e-11,npp
19_becker2021,19,becker2021,shallow,hard,-17.5388,spp.,3.843113696969697e-11,npp
19_becker2021,19,becker2021,shallow,hard,-17.5388,spp.,9.789722348484848e-12,npp
19_becker2021,19,becker2021,shallow,hard,-17.5388,spp.,-1.3843173333333332e-11,npp
20_becker2021,20,becker2021,shallow,hard,-17.5388,spp.,2.8744701742424238e-11,npp
20_becker2021,20,becker2021,shallow,hard,-17.5388,spp.,3.958566098484848e-11,npp
20_becker2021,20,becker2021,shallow,hard,-17.5388,spp.,4.7835047651515145e-11,npp
20_becker2021,20,becker2021,shallow,hard,-17.5388,spp.,6.143174818181818e-11,npp
