tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id
1_howe2001,shallow,hard,-38.15,versipora,1.2982178861788621e-5,5.4417322682926834e-6,10,hermatypic coral,npp,howe2001
1_howe2001,shallow,hard,-38.15,versipora,2.116738211382114e-5,6.003698146341464e-6,13,hermatypic coral,npp,howe2001
1_howe2001,shallow,hard,-38.15,versipora,4.686572357723578e-5,6.723981840305394e-6,16,hermatypic coral,npp,howe2001
1_howe2001,shallow,hard,-38.15,versipora,3.441321951219513e-5,7.9105668860708e-6,18,hermatypic coral,npp,howe2001
1_howe2001,shallow,hard,-38.15,versipora,3.0468300813008136e-5,9.29491607185101e-6,21,hermatypic coral,npp,howe2001
1_nakamura2003,shallow,hard,34.36,pruinosa,8.687002495934959e-10,4.0369391227642273e-10,12,hermatypic coral,npp,nakamura2003
1_nakamura2003,shallow,hard,34.36,pruinosa,1.7523521243902435e-9,3.288819974796748e-10,14,hermatypic coral,npp,nakamura2003
1_nakamura2003,shallow,hard,34.36,pruinosa,2.5013855804878045e-9,4.635542005691057e-10,16,hermatypic coral,npp,nakamura2003
1_nakamura2003,shallow,hard,34.36,pruinosa,3.3401825764227646e-9,6.279683079674796e-10,18,hermatypic coral,npp,nakamura2003
1_nakamura2003,shallow,hard,34.36,pruinosa,3.79023728699187e-9,4.934036704878049e-10,20,hermatypic coral,npp,nakamura2003
1_nakamura2003,shallow,hard,34.36,pruinosa,4.5692815609756096e-9,3.8868850300813e-10,22,hermatypic coral,npp,nakamura2003
1_nakamura2003,shallow,hard,34.36,pruinosa,5.170304671544715e-9,5.382585496747967e-10,26,hermatypic coral,npp,nakamura2003
1_nakamura2003,shallow,hard,34.36,pruinosa,5.784881055284553e-9,7.176780661788616e-10,28,hermatypic coral,npp,nakamura2003
1_nakamura2003,shallow,hard,34.36,pruinosa,5.233123015447154e-9,4.785058269918699e-10,30,hermatypic coral,npp,nakamura2003
2_nakamura2003,shallow,hard,34.36,pruinosa,2.049824950406504e-9,4.037476950406504e-10,12,hermatypic coral,npp,nakamura2003
2_nakamura2003,shallow,hard,34.36,pruinosa,3.1278479691056907e-9,3.2893578032520324e-10,14,hermatypic coral,npp,nakamura2003
2_nakamura2003,shallow,hard,34.36,pruinosa,3.5480532097560975e-9,3.139841539837398e-10,16,hermatypic coral,npp,nakamura2003
2_nakamura2003,shallow,hard,34.36,pruinosa,3.788785150406504e-9,1.7941951658536583e-10,18,hermatypic coral,npp,nakamura2003
2_nakamura2003,shallow,hard,34.36,pruinosa,4.029463308943089e-9,3.588390330894308e-10,20,hermatypic coral,npp,nakamura2003
2_nakamura2003,shallow,hard,34.36,pruinosa,4.614082656910569e-9,8.223932333333334e-10,22,hermatypic coral,npp,nakamura2003
2_nakamura2003,shallow,hard,34.36,pruinosa,4.989379235772358e-9,6.279683079674796e-10,24,hermatypic coral,npp,nakamura2003
2_nakamura2003,shallow,hard,34.36,pruinosa,4.9460840585365846e-9,6.12962898699187e-10,26,hermatypic coral,npp,nakamura2003
2_nakamura2003,shallow,hard,34.36,pruinosa,4.708310173170731e-9,7.326834754471544e-10,28,hermatypic coral,npp,nakamura2003
2_nakamura2003,shallow,hard,34.36,pruinosa,3.6033957398373985e-9,4.635542005691057e-10,30,hermatypic coral,npp,nakamura2003
17_becker2021,shallow,hard,-17.5388,spp.,2.7230781463414633e-11,NA,20,hermatypic coral,npp,becker2021
17_becker2021,shallow,hard,-17.5388,spp.,4.1054582195121946e-11,NA,22,hermatypic coral,npp,becker2021
17_becker2021,shallow,hard,-17.5388,spp.,5.3042594634146336e-11,NA,24,hermatypic coral,npp,becker2021
17_becker2021,shallow,hard,-17.5388,spp.,5.661826292682926e-11,NA,28,hermatypic coral,npp,becker2021
17_becker2021,shallow,hard,-17.5388,spp.,5.274839642276423e-11,NA,30,hermatypic coral,npp,becker2021
17_becker2021,shallow,hard,-17.5388,spp.,4.58480562601626e-11,NA,32,hermatypic coral,npp,becker2021
17_becker2021,shallow,hard,-17.5388,spp.,3.5132812926829265e-11,NA,34,hermatypic coral,npp,becker2021
17_becker2021,shallow,hard,-17.5388,spp.,1.5663530650406503e-11,NA,36,hermatypic coral,npp,becker2021
17_becker2021,shallow,hard,-17.5388,spp.,-9.644956422764227e-12,NA,37,hermatypic coral,npp,becker2021
18_becker2021,shallow,hard,-17.5388,spp.,1.3423887398373983e-11,NA,20,hermatypic coral,npp,becker2021
18_becker2021,shallow,hard,-17.5388,spp.,2.9143608130081296e-11,NA,22,hermatypic coral,npp,becker2021
18_becker2021,shallow,hard,-17.5388,spp.,3.279841300813008e-11,NA,24,hermatypic coral,npp,becker2021
18_becker2021,shallow,hard,-17.5388,spp.,4.400337008130081e-11,NA,28,hermatypic coral,npp,becker2021
18_becker2021,shallow,hard,-17.5388,spp.,3.996200959349593e-11,NA,30,hermatypic coral,npp,becker2021
18_becker2021,shallow,hard,-17.5388,spp.,3.832425845528455e-11,NA,32,hermatypic coral,npp,becker2021
18_becker2021,shallow,hard,-17.5388,spp.,2.671062544715447e-11,NA,34,hermatypic coral,npp,becker2021
18_becker2021,shallow,hard,-17.5388,spp.,2.4370378048780487e-12,NA,36,hermatypic coral,npp,becker2021
18_becker2021,shallow,hard,-17.5388,spp.,-1.939665008130081e-11,NA,37,hermatypic coral,npp,becker2021
19_becker2021,shallow,hard,-17.5388,spp.,2.937270048780487e-11,NA,20,hermatypic coral,npp,becker2021
19_becker2021,shallow,hard,-17.5388,spp.,3.9481563252032523e-11,NA,22,hermatypic coral,npp,becker2021
19_becker2021,shallow,hard,-17.5388,spp.,4.94542081300813e-11,NA,24,hermatypic coral,npp,becker2021
19_becker2021,shallow,hard,-17.5388,spp.,6.375384081300812e-11,NA,28,hermatypic coral,npp,becker2021
19_becker2021,shallow,hard,-17.5388,spp.,5.900954349593496e-11,NA,30,hermatypic coral,npp,becker2021
19_becker2021,shallow,hard,-17.5388,spp.,5.162186869918699e-11,NA,32,hermatypic coral,npp,becker2021
19_becker2021,shallow,hard,-17.5388,spp.,4.124317138211382e-11,NA,34,hermatypic coral,npp,becker2021
19_becker2021,shallow,hard,-17.5388,spp.,1.0506043495934958e-11,NA,36,hermatypic coral,npp,becker2021
19_becker2021,shallow,hard,-17.5388,spp.,-1.4856088455284553e-11,NA,37,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,3.084797260162601e-11,NA,20,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,4.2482172764227636e-11,NA,22,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,5.1335173089430896e-11,NA,24,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,6.592675414634146e-11,NA,28,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,4.9190964065040644e-11,NA,30,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,4.558374788617886e-11,NA,32,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,3.917334951219512e-11,NA,34,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,2.432181707317073e-11,NA,36,hermatypic coral,npp,becker2021
20_becker2021,shallow,hard,-17.5388,spp.,-2.3157859918699186e-11,NA,37,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,2.3651201869918694e-11,NA,20,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,2.6945017723577233e-11,NA,22,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,3.989426357723577e-11,NA,24,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,5.174036869918699e-11,NA,28,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,4.7539854634146344e-11,NA,30,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,4.358503146341463e-11,NA,32,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,2.4086324634146338e-11,NA,34,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,-2.5247863414634146e-12,NA,36,hermatypic coral,npp,becker2021
21_becker2021,shallow,hard,-17.5388,spp.,-2.2637080569105693e-11,NA,37,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,3.445542967479675e-11,NA,20,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,4.274176991869919e-11,NA,22,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,4.537251699186992e-11,NA,24,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,6.069885934959349e-11,NA,28,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,5.1402303577235767e-11,NA,30,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,4.9932012845528455e-11,NA,32,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,3.056768658536585e-11,NA,34,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,1.625030975609756e-12,NA,36,hermatypic coral,npp,becker2021
22_becker2021,shallow,hard,-17.5388,spp.,-1.933032162601626e-11,NA,37,hermatypic coral,npp,becker2021
23_becker2021,shallow,hard,-17.5388,spp.,1.720798674796748e-11,NA,20,hermatypic coral,npp,becker2021
