tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id,mol_grammin
2_howe2001,shallow,hard,-38.15,versipora,8.479991869918702e-6,1.500924536585366e-6,10,hermatypic coral,r,howe2001,8.479991869918702e-6
2_howe2001,shallow,hard,-38.15,versipora,1.3412016260162602e-5,4.127542463414635e-6,13,hermatypic coral,r,howe2001,1.3412016260162602e-5
2_howe2001,shallow,hard,-38.15,versipora,2.172523577235773e-5,2.9664625887039442e-6,16,hermatypic coral,r,howe2001,2.172523577235773e-5
2_howe2001,shallow,hard,-38.15,versipora,2.0529081300813012e-5,3.1642267544283204e-6,18,hermatypic coral,r,howe2001,2.0529081300813012e-5
2_howe2001,shallow,hard,-38.15,versipora,1.5709203252032526e-5,2.3731700658212405e-6,21,hermatypic coral,r,howe2001,1.5709203252032526e-5
3_nakamura2003,shallow,hard,34.36,pruinosa,-4.383500056097561e-10,1.7983589975609756e-10,12,hermatypic coral,r,nakamura2003,4.383500056097561e-10
3_nakamura2003,shallow,hard,34.36,pruinosa,-6.781312052845527e-10,1.7983589975609756e-10,14,hermatypic coral,r,nakamura2003,6.781312052845527e-10
3_nakamura2003,shallow,hard,34.36,pruinosa,-9.179124048780487e-10,2.697538495934959e-10,16,hermatypic coral,r,nakamura2003,9.179124048780487e-10
3_nakamura2003,shallow,hard,34.36,pruinosa,-9.328987300813008e-10,3.147128245528455e-10,18,hermatypic coral,r,nakamura2003,9.328987300813008e-10
3_nakamura2003,shallow,hard,34.36,pruinosa,-1.0378030048780487e-9,3.2969914951219515e-10,20,hermatypic coral,r,nakamura2003,1.0378030048780487e-9
3_nakamura2003,shallow,hard,34.36,pruinosa,-1.3525158292682926e-9,5.844666741463415e-10,20,hermatypic coral,r,nakamura2003,1.3525158292682926e-9
3_nakamura2003,shallow,hard,34.36,pruinosa,-1.2625978796747969e-9,1.9482222471544715e-10,22,hermatypic coral,r,nakamura2003,1.2625978796747969e-9
3_nakamura2003,shallow,hard,34.36,pruinosa,-1.6072833536585366e-9,2.0980854967479676e-10,24,hermatypic coral,r,nakamura2003,1.6072833536585366e-9
3_nakamura2003,shallow,hard,34.36,pruinosa,-1.5473380536585365e-9,2.547675246341463e-10,26,hermatypic coral,r,nakamura2003,1.5473380536585365e-9
3_nakamura2003,shallow,hard,34.36,pruinosa,-1.5473380536585365e-9,2.2479487471544716e-10,28,hermatypic coral,r,nakamura2003,1.5473380536585365e-9
3_nakamura2003,shallow,hard,34.36,pruinosa,-2.1318047284552843e-9,2.997264995934959e-10,30,hermatypic coral,r,nakamura2003,2.1318047284552843e-9
4_nakamura2003,shallow,hard,34.36,pruinosa,-7.38076505203252e-10,2.0980854967479676e-10,12,hermatypic coral,r,nakamura2003,7.38076505203252e-10
4_nakamura2003,shallow,hard,34.36,pruinosa,-1.0078303544715448e-9,1.0490427487804879e-10,14,hermatypic coral,r,nakamura2003,1.0078303544715448e-9
4_nakamura2003,shallow,hard,34.36,pruinosa,-1.2775842040650407e-9,1.9482222471544715e-10,16,hermatypic coral,r,nakamura2003,1.2775842040650407e-9
4_nakamura2003,shallow,hard,34.36,pruinosa,-1.4274474544715447e-9,1.0490427487804879e-10,18,hermatypic coral,r,nakamura2003,1.4274474544715447e-9
