tpc_grp,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
6_terhorst&coffroth2021,25.08,antillogorgium,1.2546549032047087e-5,38.79163670917708,26,gpp,terhorst&coffroth2021,6
6_terhorst&coffroth2021,25.08,antillogorgium,9.076226958796597e-6,38.27978928434875,30,gpp,terhorst&coffroth2021,6
6_terhorst&coffroth2021,25.08,antillogorgium,1.895329747547416e-5,38.028897661970575,32,gpp,terhorst&coffroth2021,6
7_terhorst&coffroth2021,25.08,antillogorgium,2.874138536952256e-5,38.79163670917708,26,gpp,terhorst&coffroth2021,7
7_terhorst&coffroth2021,25.08,antillogorgium,2.4203271890124258e-5,38.27978928434875,30,gpp,terhorst&coffroth2021,7
7_terhorst&coffroth2021,25.08,antillogorgium,3.123289865271418e-5,38.028897661970575,32,gpp,terhorst&coffroth2021,7
8_terhorst&coffroth2021,25.08,antillogorgium,1.272451426422498e-5,38.79163670917708,26,gpp,terhorst&coffroth2021,8
8_terhorst&coffroth2021,25.08,antillogorgium,6.851661530412032e-6,38.27978928434875,30,gpp,terhorst&coffroth2021,8
8_terhorst&coffroth2021,25.08,antillogorgium,1.7529575598430343e-5,38.028897661970575,32,gpp,terhorst&coffroth2021,8
9_terhorst&coffroth2021,25.08,antillogorgium,2.8118507050359705e-5,38.79163670917708,26,gpp,terhorst&coffroth2021,9
9_terhorst&coffroth2021,25.08,antillogorgium,3.087696818181817e-5,38.27978928434875,30,gpp,terhorst&coffroth2021,9
9_terhorst&coffroth2021,25.08,antillogorgium,3.3635429319816865e-5,38.028897661970575,32,gpp,terhorst&coffroth2021,9
10_terhorst&coffroth2021,25.08,antillogorgium,2.6338854702419873e-5,38.79163670917708,26,gpp,terhorst&coffroth2021,10
10_terhorst&coffroth2021,25.08,antillogorgium,3.0432055094833212e-5,38.27978928434875,30,gpp,terhorst&coffroth2021,10
10_terhorst&coffroth2021,25.08,antillogorgium,3.7906594944408096e-5,38.028897661970575,32,gpp,terhorst&coffroth2021,10
1_pierangelini2020,43,sp. (Avir),1.5164227174623934e-8,40.9836416088657,10,gpp,pierangelini2020,1
1_pierangelini2020,43,sp. (Avir),2.0004311432308697e-8,40.27249044438772,15,gpp,pierangelini2020,1
1_pierangelini2020,43,sp. (Avir),4.0193594238064094e-8,39.58559823145258,20,gpp,pierangelini2020,1
1_pierangelini2020,43,sp. (Avir),5.709107168083715e-8,38.92174449622782,25,gpp,pierangelini2020,1
1_pierangelini2020,43,sp. (Avir),6.24792192674951e-8,38.27978928434875,30,gpp,pierangelini2020,1
1_pierangelini2020,43,sp. (Avir),4.3207942531066054e-8,37.65866662842876,35,gpp,pierangelini2020,1
1_pierangelini2020,43,sp. (Avir),1.4626440026160886e-9,37.05737864138695,40,gpp,pierangelini2020,1
3_pierangelini2020,22,sp. (Stylodid),2.1983940732504905e-8,40.27249044438772,15,gpp,pierangelini2020,3
3_pierangelini2020,22,sp. (Stylodid),3.434990739045127e-8,39.58559823145258,20,gpp,pierangelini2020,3
3_pierangelini2020,22,sp. (Stylodid),4.836466960758666e-8,38.92174449622782,25,gpp,pierangelini2020,3
3_pierangelini2020,22,sp. (Stylodid),5.303625701111838e-8,38.27978928434875,30,gpp,pierangelini2020,3
3_pierangelini2020,22,sp. (Stylodid),2.528153183780248e-8,37.65866662842876,35,gpp,pierangelini2020,3
3_pierangelini2020,22,sp. (Stylodid),1.4839159993459777e-8,37.05737864138695,40,gpp,pierangelini2020,3
5_pierangelini2020,24.46,trenchii,1.3544478116415957e-8,40.27249044438772,15,gpp,pierangelini2020,5
5_pierangelini2020,24.46,trenchii,3.0584751151079135e-8,39.58559823145258,20,gpp,pierangelini2020,5
5_pierangelini2020,24.46,trenchii,4.707405650098103e-8,38.92174449622782,25,gpp,pierangelini2020,5
5_pierangelini2020,24.46,trenchii,4.034672390451275e-8,38.27978928434875,30,gpp,pierangelini2020,5
5_pierangelini2020,24.46,trenchii,2.091259130804447e-8,37.65866662842876,35,gpp,pierangelini2020,5
5_pierangelini2020,24.46,trenchii,9.499442773054284e-11,37.05737864138695,40,gpp,pierangelini2020,5
7_pierangelini2020,-41.29,voratum,5.382661394375409e-8,40.27249044438772,15,gpp,pierangelini2020,7
7_pierangelini2020,-41.29,voratum,7.225871857423152e-8,39.58559823145258,20,gpp,pierangelini2020,7
7_pierangelini2020,-41.29,voratum,9.436622138652715e-8,38.92174449622782,25,gpp,pierangelini2020,7
7_pierangelini2020,-41.29,voratum,1.0140815114453892e-7,38.27978928434875,30,gpp,pierangelini2020,7
7_pierangelini2020,-41.29,voratum,5.627687939829955e-8,37.65866662842876,35,gpp,pierangelini2020,7
7_pierangelini2020,-41.29,voratum,4.898234499672989e-9,37.05737864138695,40,gpp,pierangelini2020,7
6_moffatt2022,28.6929,microadriaticum,NA,38.79163670917708,26,gpp,moffatt2022,6
6_moffatt2022,28.6929,microadriaticum,NA,38.27978928434875,30,gpp,moffatt2022,6
6_moffatt2022,28.6929,microadriaticum,NA,38.028897661970575,32,gpp,moffatt2022,6
7_moffatt2022,27.6648,microadriaticum,NA,38.79163670917708,26,gpp,moffatt2022,7
7_moffatt2022,27.6648,microadriaticum,NA,38.27978928434875,30,gpp,moffatt2022,7
7_moffatt2022,27.6648,microadriaticum,NA,38.028897661970575,32,gpp,moffatt2022,7
8_moffatt2022,24.824,microadriaticum,NA,38.79163670917708,26,gpp,moffatt2022,8
8_moffatt2022,24.824,microadriaticum,NA,38.27978928434875,30,gpp,moffatt2022,8
8_moffatt2022,24.824,microadriaticum,NA,38.028897661970575,32,gpp,moffatt2022,8
9_moffatt2022,21.4628,microadriaticum,NA,38.79163670917708,26,gpp,moffatt2022,9
9_moffatt2022,21.4628,microadriaticum,NA,38.27978928434875,30,gpp,moffatt2022,9
9_moffatt2022,21.4628,microadriaticum,NA,38.028897661970575,32,gpp,moffatt2022,9
10_moffatt2022,28.6929,microadriaticum,NA,38.79163670917708,26,gpp,moffatt2022,10
10_moffatt2022,28.6929,microadriaticum,NA,38.27978928434875,30,gpp,moffatt2022,10
10_moffatt2022,28.6929,microadriaticum,NA,38.028897661970575,32,gpp,moffatt2022,10
9_oakley2014,9.2389,minutum,1.0741008469587963e-7,39.31735768778696,22,gpp,oakley2014,9
9_oakley2014,9.2389,minutum,1.163343647482014e-7,38.79163670917708,26,gpp,oakley2014,9
9_oakley2014,9.2389,minutum,1.4183230765206015e-7,38.27978928434875,30,gpp,oakley2014,9
9_oakley2014,9.2389,minutum,1.4278848051013733e-7,37.781273389387344,34,gpp,oakley2014,9
