tpc_grp,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
1_perez2001,32.3078,spp,3.8677982244318185e-5,38.92174449622782,25,npp,perez2001,1
2_perez2001,24.6507,spp,1.6534271875e-4,38.92174449622782,25,npp,perez2001,2
3_perez2001,24.6507,spp,6.876085724431817e-5,38.92174449622782,25,npp,perez2001,3
4_perez2001,24.6507,spp,3.076143607954545e-5,38.92174449622782,25,npp,perez2001,4
1_perez2001,32.3078,spp,-4.071366477272728e-6,38.028897661970575,32,npp,perez2001,1
2_perez2001,24.6507,spp,2.442819886363636e-5,38.028897661970575,32,npp,perez2001,2
3_perez2001,24.6507,spp,-1.2598617542613637e-4,38.028897661970575,32,npp,perez2001,3
1_perez2001,32.3078,spp,-3.4154241477272726e-5,37.781273389387344,34,npp,perez2001,1
2_perez2001,24.6507,spp,-4.071366477272728e-6,37.781273389387344,34,npp,perez2001,2
3_perez2001,24.6507,spp,-6.582042542613637e-5,37.781273389387344,34,npp,perez2001,3
4_perez2001,24.6507,spp,-9.90699190340909e-5,37.781273389387344,34,npp,perez2001,4
11_terhorst&coffroth2021,25.08,antillogorgium,2.180074120340091e-6,38.79163670917708,26,npp,terhorst&coffroth2021,11
11_terhorst&coffroth2021,25.08,antillogorgium,6.851661530412032e-6,38.27978928434875,30,npp,terhorst&coffroth2021,11
11_terhorst&coffroth2021,25.08,antillogorgium,1.4741453590582078e-5,38.028897661970575,32,npp,terhorst&coffroth2021,11
12_terhorst&coffroth2021,25.08,antillogorgium,2.1385489012426418e-5,38.79163670917708,26,npp,terhorst&coffroth2021,12
12_terhorst&coffroth2021,25.08,antillogorgium,1.9620667102681487e-5,38.27978928434875,30,npp,terhorst&coffroth2021,12
12_terhorst&coffroth2021,25.08,antillogorgium,2.6783767789404833e-5,38.028897661970575,32,npp,terhorst&coffroth2021,12
13_terhorst&coffroth2021,25.08,antillogorgium,3.114391602354479e-6,38.79163670917708,26,npp,terhorst&coffroth2021,13
13_terhorst&coffroth2021,25.08,antillogorgium,7.941698587311966e-6,38.27978928434875,30,npp,terhorst&coffroth2021,13
13_terhorst&coffroth2021,25.08,antillogorgium,1.2976631680837145e-5,38.028897661970575,32,npp,terhorst&coffroth2021,13
14_terhorst&coffroth2021,25.08,antillogorgium,1.3859042635709608e-5,38.79163670917708,26,npp,terhorst&coffroth2021,14
14_terhorst&coffroth2021,25.08,antillogorgium,2.6679954735120985e-5,38.27978928434875,30,npp,terhorst&coffroth2021,14
14_terhorst&coffroth2021,25.08,antillogorgium,2.8133337488554603e-5,38.028897661970575,32,npp,terhorst&coffroth2021,14
