tpc_grp,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
5_perez2001,32.3078,spp,-4.8882796875e-5,38.92174449622782,25,r,perez2001,5
6_perez2001,24.6507,spp,-1.3616553196022727e-4,38.92174449622782,25,r,perez2001,6
7_perez2001,24.6507,spp,-3.9682830255681816e-5,38.92174449622782,25,r,perez2001,7
8_perez2001,24.6507,spp,-1.095331171875e-4,38.92174449622782,25,r,perez2001,8
5_perez2001,32.3078,spp,-1.7997700994318182e-05,38.028897661970575,32,r,perez2001,5
6_perez2001,24.6507,spp,-2.5278644886363637e-5,38.028897661970575,32,r,perez2001,6
7_perez2001,24.6507,spp,-1.829893252840909e-5,38.028897661970575,32,r,perez2001,7
8_perez2001,24.6507,spp,-9.131746661931818e-5,38.028897661970575,32,r,perez2001,8
5_perez2001,32.3078,spp,-2.1956237926136364e-5,37.781273389387344,34,r,perez2001,5
6_perez2001,24.6507,spp,-4.5870481534090915e-5,37.781273389387344,34,r,perez2001,6
7_perez2001,24.6507,spp,-2.7013384943181813e-5,37.781273389387344,34,r,perez2001,7
8_perez2001,24.6507,spp,-4.4587589488636356e-5,37.781273389387344,34,r,perez2001,8
1_terhorst&coffroth2021,25.08,antillogorgium,1.0320374859385216e-5,38.79163670917708,26,r,terhorst&coffroth2021,1
1_terhorst&coffroth2021,25.08,antillogorgium,1.1725857292347937e-6,38.27978928434875,30,r,terhorst&coffroth2021,1
1_terhorst&coffroth2021,25.08,antillogorgium,2.4170990909090904e-6,38.028897661970575,32,r,terhorst&coffroth2021,1
2_terhorst&coffroth2021,25.08,antillogorgium,7.4019319162851515e-6,38.79163670917708,26,r,terhorst&coffroth2021,2
2_terhorst&coffroth2021,25.08,antillogorgium,4.62800563767168e-6,38.27978928434875,30,r,terhorst&coffroth2021,2
2_terhorst&coffroth2021,25.08,antillogorgium,4.417596651406147e-6,38.028897661970575,32,r,terhorst&coffroth2021,2
3_terhorst&coffroth2021,25.08,antillogorgium,9.54099351209941e-6,38.79163670917708,26,r,terhorst&coffroth2021,3
3_terhorst&coffroth2021,25.08,antillogorgium,1.5017166448659251e-6,38.27978928434875,30,r,terhorst&coffroth2021,3
3_terhorst&coffroth2021,25.08,antillogorgium,3.854659594506212e-6,38.028897661970575,32,r,terhorst&coffroth2021,3
4_terhorst&coffroth2021,25.08,antillogorgium,1.427813072596468e-5,38.79163670917708,26,r,terhorst&coffroth2021,4
4_terhorst&coffroth2021,25.08,antillogorgium,8.351955369522563e-6,38.27978928434875,30,r,terhorst&coffroth2021,4
4_terhorst&coffroth2021,25.08,antillogorgium,5.370265716154348e-6,38.028897661970575,32,r,terhorst&coffroth2021,4
5_terhorst&coffroth2021,25.08,antillogorgium,6.0248898299542165e-6,38.79163670917708,26,r,terhorst&coffroth2021,5
5_terhorst&coffroth2021,25.08,antillogorgium,7.304044198822758e-6,38.27978928434875,30,r,terhorst&coffroth2021,5
5_terhorst&coffroth2021,25.08,antillogorgium,6.5740200850228885e-6,38.028897661970575,32,r,terhorst&coffroth2021,5
2_pierangelini2020,43,sp. (Avir),-8.818277351209942e-9,40.9836416088657,10,r,pierangelini2020,2
2_pierangelini2020,43,sp. (Avir),-9.644990850228907e-9,40.27249044438772,15,r,pierangelini2020,2
2_pierangelini2020,43,sp. (Avir),-1.2400702524525832e-8,39.58559823145258,20,r,pierangelini2020,2
2_pierangelini2020,43,sp. (Avir),-1.6534270032701108e-8,38.92174449622782,25,r,pierangelini2020,2
2_pierangelini2020,43,sp. (Avir),-1.7636554695879658e-8,38.27978928434875,30,r,pierangelini2020,2
2_pierangelini2020,43,sp. (Avir),-1.7085412367560494e-8,37.65866662842876,35,r,pierangelini2020,2
2_pierangelini2020,43,sp. (Avir),-2.5352547377370827e-8,37.05737864138695,40,r,pierangelini2020,2
4_pierangelini2020,22,sp. (Stylodid),-5.495985179856114e-9,40.27249044438772,15,r,pierangelini2020,4
