tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
1_zotz2003,green algae,neutral,9,endosulphureum,7.35638298e-7,40.9836416088657,10,gpp,zotz2003,1
1_zotz2003,green algae,neutral,9,endosulphureum,9.590425536e-7,40.27249044438772,15,gpp,zotz2003,1
1_zotz2003,green algae,neutral,9,endosulphureum,1.5510638280000001e-6,39.58559823145258,20,gpp,zotz2003,1
1_zotz2003,green algae,neutral,9,endosulphureum,1.4952127680000003e-6,38.92174449622782,25,gpp,zotz2003,1
1_zotz2003,green algae,neutral,9,endosulphureum,1.316489364e-6,38.27978928434875,30,gpp,zotz2003,1
1_zotz2003,green algae,neutral,9,endosulphureum,1.0707446808e-6,37.65866662842876,35,gpp,zotz2003,1
3_lange2002florai,green algae,neutral,49.9174,muralis,0.0103978490516129,42.17524303670842,2,gpp,lange2002florai,3
3_lange2002florai,green algae,neutral,49.9174,muralis,0.01456933339548387,41.42251694288889,7,gpp,lange2002florai,3
3_lange2002florai,green algae,neutral,49.9174,muralis,0.013097104529032257,41.42251694288889,7,gpp,lange2002florai,3
3_lange2002florai,green algae,neutral,49.9174,muralis,0.01726833504,40.696188397511214,12,gpp,lange2002florai,3
3_lange2002florai,green algae,neutral,49.9174,muralis,0.016354664729032256,40.696188397511214,12,gpp,lange2002florai,3
3_lange2002florai,green algae,neutral,49.9174,muralis,0.018850600321935484,39.99489271601007,17,gpp,lange2002florai,3
3_lange2002florai,green algae,neutral,49.9174,muralis,0.018495234733548388,39.99489271601007,17,gpp,lange2002florai,3
3_lange2002florai,green algae,neutral,49.9174,muralis,0.018190635658064516,39.99489271601007,17,gpp,lange2002florai,3
3_lange2002florai,green algae,neutral,49.9174,muralis,0.019671367916129032,39.31735768778696,22,gpp,lange2002florai,3
3_lange2002florai,green algae,neutral,49.9174,muralis,0.019070673154838704,38.66239587389746,27,gpp,lange2002florai,3
2_green1998,green algae,neutral,-77.01,aprina,0.030734316735483866,42.4840495022893,0,gpp,green1998,2
2_green1998,green algae,neutral,-77.01,aprina,0.04318366023870967,41.720359955241136,5,gpp,green1998,2
2_green1998,green algae,neutral,-77.01,aprina,0.05952342356129031,40.9836416088657,10,gpp,green1998,2
2_green1998,green algae,neutral,-77.01,aprina,0.058745339593548385,40.27249044438772,15,gpp,green1998,2
2_green1998,green algae,neutral,-77.01,aprina,0.055243961748387096,39.58559823145258,20,gpp,green1998,2
1_aubert_2007,green algae,high,44.6008723,elegans,8.4137923e-7,42.17524303670842,2,gpp,aubert_2007,1
1_aubert_2007,green algae,high,44.6008723,elegans,1.37684956876e-6,41.720359955241136,5,gpp,aubert_2007,1
1_aubert_2007,green algae,high,44.6008723,elegans,1.8630777610000001e-6,40.9836416088657,10,gpp,aubert_2007,1
