tpc_grp,response_id,study_id,elevation_broad,lichen_type,latitude,species,inv_T,mol_gCmin,metabolic_category
1_aubert2007,1,aubert2007,high,green algae,44.6008723,elegans,42.17524303670842,8.211032774000001e-7,npp
1_aubert2007,1,aubert2007,high,green algae,44.6008723,elegans,41.720359955241136,1.2873105782e-6,npp
1_aubert2007,1,aubert2007,high,green algae,44.6008723,elegans,40.9836416088657,1.5652415334e-6,npp
1_aubert2007,1,aubert2007,high,green algae,44.6008723,elegans,40.27249044438772,1.3591850368e-6,npp
1_aubert2007,1,aubert2007,high,green algae,44.6008723,elegans,39.58559823145258,9.999293626e-7,npp
1_aubert2007,1,aubert2007,high,green algae,44.6008723,elegans,38.92174449622782,4.6658314560000004e-7,npp
1_aubert2007,1,aubert2007,high,green algae,44.6008723,elegans,38.27978928434875,-1.2945382576e-7,npp
1_colesie2018,1,colesie2018,neutral,cyanobacteria,-62,alpinum,41.720359955241136,2.295652176e-4,npp
1_colesie2018,1,colesie2018,neutral,cyanobacteria,-62,alpinum,40.27249044438772,2.573913048e-4,npp
1_colesie2018,1,colesie2018,neutral,cyanobacteria,-62,alpinum,39.18459605453426,2.295652176e-4,npp
2_colesie2018,2,colesie2018,neutral,green algae,-62,aurantiaco-atra,41.720359955241136,9.04347828e-5,npp
2_colesie2018,2,colesie2018,neutral,green algae,-62,aurantiaco-atra,40.27249044438772,1.113043476e-4,npp
2_colesie2018,2,colesie2018,neutral,green algae,-62,aurantiaco-atra,39.18459605453426,-9.7391304e-5,npp
3_colesie2018,3,colesie2018,neutral,cyanobacteria,-62,contortuplicata,41.720359955241136,1.530434784e-4,npp
3_colesie2018,3,colesie2018,neutral,cyanobacteria,-62,contortuplicata,40.27249044438772,1.878260868e-4,npp
3_colesie2018,3,colesie2018,neutral,cyanobacteria,-62,contortuplicata,39.18459605453426,1.04347824e-5,npp
8_delprado1995,8,delprado1995,neutral,green algae,36.834,lacunosus,42.4840495022893,4.3515400416e-7,npp
8_delprado1995,8,delprado1995,neutral,green algae,36.834,lacunosus,41.720359955241136,7.1605749492e-7,npp
8_delprado1995,8,delprado1995,neutral,green algae,36.834,lacunosus,40.9836416088657,1.00878850104e-6,npp
8_delprado1995,8,delprado1995,neutral,green algae,36.834,lacunosus,40.27249044438772,1.2335112935999995e-6,npp
8_delprado1995,8,delprado1995,neutral,green algae,36.834,lacunosus,39.58559823145258,1.428665298e-6,npp
8_delprado1995,8,delprado1995,neutral,green algae,36.834,lacunosus,38.92174449622782,1.4168377823999998e-6,npp
8_delprado1995,8,delprado1995,neutral,green algae,36.834,lacunosus,38.27978928434875,1.07975359344e-6,npp
16_delprado1995,16,delprado1995,neutral,green algae,36.834,bourgeana,42.4840495022893,2.0020470828e-7,npp
