tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
1_aubert2007,green algae,high,44.6008723,elegans,8.211032774000001e-7,42.17524303670842,2,npp,aubert2007,1
1_aubert2007,green algae,high,44.6008723,elegans,1.2873105782000001e-6,41.720359955241136,5,npp,aubert2007,1
1_aubert2007,green algae,high,44.6008723,elegans,1.5652415334000001e-6,40.9836416088657,10,npp,aubert2007,1
1_aubert2007,green algae,high,44.6008723,elegans,1.3591850368000001e-6,40.27249044438772,15,npp,aubert2007,1
1_aubert2007,green algae,high,44.6008723,elegans,9.999293626e-7,39.58559823145258,20,npp,aubert2007,1
1_aubert2007,green algae,high,44.6008723,elegans,4.6658314560000004e-7,38.92174449622782,25,npp,aubert2007,1
1_aubert2007,green algae,high,44.6008723,elegans,-1.2945382576e-7,38.27978928434875,30,npp,aubert2007,1
1_colesie2018,cyanobacteria,neutral,-62,alpinum,2.295652176e-4,41.720359955241136,5,npp,colesie2018,1
1_colesie2018,cyanobacteria,neutral,-62,alpinum,2.573913048e-4,40.27249044438772,15,npp,colesie2018,1
1_colesie2018,cyanobacteria,neutral,-62,alpinum,2.295652176e-4,39.18459605453426,23,npp,colesie2018,1
2_colesie2018,green algae,neutral,-62,aurantiaco-atra,9.043478279999999e-5,41.720359955241136,5,npp,colesie2018,2
2_colesie2018,green algae,neutral,-62,aurantiaco-atra,1.1130434759999999e-4,40.27249044438772,15,npp,colesie2018,2
2_colesie2018,green algae,neutral,-62,aurantiaco-atra,-9.739130400000001e-5,39.18459605453426,23,npp,colesie2018,2
3_colesie2018,cyanobacteria,neutral,-62,contortuplicata,1.5304347839999999e-4,41.720359955241136,5,npp,colesie2018,3
3_colesie2018,cyanobacteria,neutral,-62,contortuplicata,1.8782608679999998e-4,40.27249044438772,15,npp,colesie2018,3
3_colesie2018,cyanobacteria,neutral,-62,contortuplicata,1.04347824e-5,39.18459605453426,23,npp,colesie2018,3
8_delprado1995,green algae,neutral,36.834,lacunosus,4.3515400415999997e-7,42.4840495022893,0,npp,delprado1995,8
8_delprado1995,green algae,neutral,36.834,lacunosus,7.1605749492e-7,41.720359955241136,5,npp,delprado1995,8
8_delprado1995,green algae,neutral,36.834,lacunosus,1.00878850104e-6,40.9836416088657,10,npp,delprado1995,8
8_delprado1995,green algae,neutral,36.834,lacunosus,1.2335112935999997e-6,40.27249044438772,15,npp,delprado1995,8
8_delprado1995,green algae,neutral,36.834,lacunosus,1.428665298e-6,39.58559823145258,20,npp,delprado1995,8
8_delprado1995,green algae,neutral,36.834,lacunosus,1.4168377823999998e-6,38.92174449622782,25,npp,delprado1995,8
8_delprado1995,green algae,neutral,36.834,lacunosus,1.0797535934399999e-6,38.27978928434875,30,npp,delprado1995,8
16_delprado1995,green algae,neutral,36.834,bourgeana,2.0020470828e-7,42.4840495022893,0,npp,delprado1995,16
16_delprado1995,green algae,neutral,36.834,bourgeana,4.1834186279999996e-7,41.720359955241136,5,npp,delprado1995,16
16_delprado1995,green algae,neutral,36.834,bourgeana,1.01084953944e-6,40.9836416088657,10,npp,delprado1995,16
16_delprado1995,green algae,neutral,36.834,bourgeana,1.2142476972e-6,40.27249044438772,15,npp,delprado1995,16
16_delprado1995,green algae,neutral,36.834,bourgeana,9.8137154556e-7,39.58559823145258,20,npp,delprado1995,16
16_delprado1995,green algae,neutral,36.834,bourgeana,6.895394063999999e-7,38.92174449622782,25,npp,delprado1995,16
16_delprado1995,green algae,neutral,36.834,bourgeana,6.3353121804e-7,38.27978928434875,30,npp,delprado1995,16
1_domaschke2013,green algae,neutral,49.58,aculeata,1.2125786159999998e-7,42.4840495022893,0,npp,domaschke2013,1
1_domaschke2013,green algae,neutral,49.58,aculeata,3.7886792447999996e-7,41.720359955241136,5,npp,domaschke2013,1
1_domaschke2013,green algae,neutral,49.58,aculeata,7.532075471999998e-7,40.9836416088657,10,npp,domaschke2013,1
1_domaschke2013,green algae,neutral,49.58,aculeata,6.525786163199999e-7,40.27249044438772,15,npp,domaschke2013,1
1_domaschke2013,green algae,neutral,49.58,aculeata,9.383647798799999e-7,39.58559823145258,20,npp,domaschke2013,1
1_domaschke2013,green algae,neutral,49.58,aculeata,8.659119496799999e-7,38.92174449622782,25,npp,domaschke2013,1
1_domaschke2013,green algae,neutral,49.58,aculeata,2.460377358e-7,38.27978928434875,30,npp,domaschke2013,1
2_domaschke2013,green algae,neutral,41.39,aculeata,1.5345911951999996e-7,42.4840495022893,0,npp,domaschke2013,2
2_domaschke2013,green algae,neutral,41.39,aculeata,3.0238993716e-7,41.720359955241136,5,npp,domaschke2013,2
2_domaschke2013,green algae,neutral,41.39,aculeata,6.203773585199999e-7,40.9836416088657,10,npp,domaschke2013,2
2_domaschke2013,green algae,neutral,41.39,aculeata,5.116981131599999e-7,40.27249044438772,15,npp,domaschke2013,2
2_domaschke2013,green algae,neutral,41.39,aculeata,6.1232704404e-7,39.58559823145258,20,npp,domaschke2013,2
2_domaschke2013,green algae,neutral,41.39,aculeata,4.4327044019999997e-7,38.92174449622782,25,npp,domaschke2013,2
2_domaschke2013,green algae,neutral,41.39,aculeata,1.4138364779999997e-7,38.27978928434875,30,npp,domaschke2013,2
3_domaschke2013,green algae,neutral,-62.24,aculeata,1.6603773599999995e-8,42.4840495022893,0,npp,domaschke2013,3
3_domaschke2013,green algae,neutral,-62.24,aculeata,4.477987416e-8,41.720359955241136,5,npp,domaschke2013,3
3_domaschke2013,green algae,neutral,-62.24,aculeata,1.0918238987999997e-7,40.9836416088657,10,npp,domaschke2013,3
3_domaschke2013,green algae,neutral,-62.24,aculeata,9.710691827999999e-8,40.27249044438772,15,npp,domaschke2013,3
3_domaschke2013,green algae,neutral,-62.24,aculeata,2.062893084e-8,39.58559823145258,20,npp,domaschke2013,3
3_domaschke2013,green algae,neutral,-62.24,aculeata,-7.194968555999999e-8,38.92174449622782,25,npp,domaschke2013,3
3_domaschke2013,green algae,neutral,-62.24,aculeata,-1.0012578611999999e-7,38.27978928434875,30,npp,domaschke2013,3
4_domaschke2013,green algae,neutral,78.1,aculeata,8.55345912e-9,42.4840495022893,0,npp,domaschke2013,4
4_domaschke2013,green algae,neutral,78.1,aculeata,8.503144656e-8,41.720359955241136,5,npp,domaschke2013,4
4_domaschke2013,green algae,neutral,78.1,aculeata,1.2930817608e-7,40.9836416088657,10,npp,domaschke2013,4
4_domaschke2013,green algae,neutral,78.1,aculeata,6.490566036e-8,40.27249044438772,15,npp,domaschke2013,4
4_domaschke2013,green algae,neutral,78.1,aculeata,6.088050312e-8,39.58559823145258,20,npp,domaschke2013,4
4_domaschke2013,green algae,neutral,78.1,aculeata,-5.584905659999999e-8,38.92174449622782,25,npp,domaschke2013,4
4_domaschke2013,green algae,neutral,78.1,aculeata,-8.000000004e-8,38.27978928434875,30,npp,domaschke2013,4
1_kappen1988,green algae,neutral,57,ochroleuca,2.499431947284708e-7,41.42251694288889,7,npp,kappen1988,1
2_kappen1988,green algae,neutral,75,ochroleuca,6.059228963114444e-8,41.42251694288889,7,npp,kappen1988,2
3_lange1969,green algae,neutral,30.7944,maciformis,1.514807240778611e-6,39.58559823145258,20,npp,lange1969,3
4_kappen1988,green algae,neutral,54.526,vermicularis,8.861622358554873e-7,40.27249044438772,15,npp,kappen1988,4
5_kappen1995,green algae,neutral,-82.8628,antarctica,2.2722108611679162e-7,40.55396862327563,13,npp,kappen1995,5
1_lange2000,cyanobacteria,high,8,phyllocarpum,8.1003963012e-4,40.55396862327563,13,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.00165019815,40.696188397511214,12,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0018562747692000001,40.41273940989142,14,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0029500660499999997,39.857524030741274,18,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0023556142668,39.857524030741274,18,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0022287978863999997,39.857524030741274,18,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0022842800531999996,39.7210957437971,19,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0024903566712,39.451022000851,21,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0024269484803999997,39.451022000851,21,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0024745046232,39.052727987717724,24,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0030768824304,39.31735768778696,22,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0027598414799999997,39.052727987717724,24,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0029817701448,38.92174449622782,25,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0028787318363999994,38.66239587389746,27,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0026885072652,38.53401335397749,28,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0024269484803999997,38.40648062733848,29,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0023556142668,38.66239587389746,27,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0021733157196000006,38.40648062733848,29,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0016977542927999998,38.028897661970575,32,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0028866578604000003,38.27978928434875,30,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0025062087192,38.028897661970575,32,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0027598414799999997,37.9046811090979,33,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.001444121532,37.65866662842876,35,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0018562747692000001,37.4158249929077,37,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0027756935268,37.65866662842876,35,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0027915455748,37.17609521560251,39,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0019355350068,37.05737864138695,40,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,9.606340819199999e-4,37.05737864138695,40,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,6.8322324972e-4,36.47499016674626,45,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0026488771464,36.70573500411299,43,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0023001321,36.360702245183525,46,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,0.0015709379124,35.910623925577354,50,npp,lange2000,1
1_lange2000,cyanobacteria,high,8,phyllocarpum,7.545574636800001e-4,35.910623925577354,50,npp,lange2000,1
1_lange2004,cyanobacteria,high,8,aurata,1.4916556296000002e-6,40.9836416088657,10,npp,lange2004,1
