tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id,paper_unit,mol_grammin
2_aubert2007,green algae,high,44.6008723,elegans,2.02759526e-8,2.7855153200000003e-8,2,r,aubert2007,2,2.02759526e-8
2_aubert2007,green algae,high,44.6008723,elegans,8.953899056000001e-8,4.178481228e-8,5,r,aubert2007,2,8.953899056000001e-8
2_aubert2007,green algae,high,44.6008723,elegans,2.9783622759999997e-7,9.575208914e-8,10,r,aubert2007,2,2.9783622759999997e-7
2_aubert2007,green algae,high,44.6008723,elegans,6.593284776000001e-7,1.1142061282000001e-7,15,r,aubert2007,2,6.593284776000001e-7
2_aubert2007,green algae,high,44.6008723,elegans,1.194915435e-6,1.4623955432e-7,20,r,aubert2007,2,1.194915435e-6
2_aubert2007,green algae,high,44.6008723,elegans,1.7514020872000003e-6,1.6364902506000003e-7,25,r,aubert2007,2,1.7514020872000003e-6
2_aubert2007,green algae,high,44.6008723,elegans,2.2486840440000003e-6,1.8106057830000003e-7,30,r,aubert2007,2,2.2486840440000003e-6
4_colesie2018,cyanobacteria,neutral,-62,alpinum,-9.43131e-5,3.5654952000000005e-5,5,r,colesie2018,4,9.43131e-5
4_colesie2018,cyanobacteria,neutral,-62,alpinum,-2.32332264e-4,1.6102236e-5,15,r,colesie2018,4,2.32332264e-4
4_colesie2018,cyanobacteria,neutral,-62,alpinum,-2.9674122000000004e-4,1.012140576e-4,23,r,colesie2018,4,2.9674122000000004e-4
5_colesie2018,green algae,neutral,-62,aurantiaco-atra,-4.8306708000000005e-5,1.72523964e-5,5,r,colesie2018,5,4.8306708000000005e-5
5_colesie2018,green algae,neutral,-62,aurantiaco-atra,-1.1731629600000001e-4,3.91054308e-5,15,r,colesie2018,5,1.1731629600000001e-4
5_colesie2018,green algae,neutral,-62,aurantiaco-atra,-3.7265175599999995e-4,1.840255596e-4,23,r,colesie2018,5,3.7265175599999995e-4
6_colesie2018,cyanobacteria,neutral,-62,contortuplicata,-1.03514376e-4,2.87539932e-5,5,r,colesie2018,6,1.03514376e-4
6_colesie2018,cyanobacteria,neutral,-62,contortuplicata,-4.16357832e-4,1.38019164e-5,15,r,colesie2018,6,4.16357832e-4
6_colesie2018,cyanobacteria,neutral,-62,contortuplicata,-5.911821120000001e-4,1.138658148e-4,23,r,colesie2018,6,5.911821120000001e-4
1_delprado_1995,green algae,neutral,36.834,lacunosus,-4.977412727999999e-8,NA,0,r,delprado_1995,1,4.977412727999999e-8
1_delprado1995,green algae,neutral,36.834,lacunosus,-7.93429158e-8,NA,5,r,delprado1995,1,7.93429158e-8
1_delprado1995,green algae,neutral,36.834,lacunosus,-1.2665297736e-7,NA,10,r,delprado1995,1,1.2665297736e-7
1_delprado1995,green algae,neutral,36.834,lacunosus,-3.0997946615999997e-7,NA,15,r,delprado1995,1,3.0997946615999997e-7
1_delprado1995,green algae,neutral,36.834,lacunosus,-4.341683778e-7,NA,20,r,delprado1995,1,4.341683778e-7
1_delprado1995,green algae,neutral,36.834,lacunosus,-4.814784394799999e-7,NA,25,r,delprado1995,1,4.814784394799999e-7
1_delprado1995,green algae,neutral,36.834,lacunosus,-5.1104722788e-7,NA,30,r,delprado1995,1,5.1104722788e-7
9_delprado1995,green algae,neutral,36.834,bourgeana,-5.625383831999999e-8,NA,0,r,delprado1995,9,5.625383831999999e-8
9_delprado1995,green algae,neutral,36.834,bourgeana,-8.573183207999999e-8,NA,5,r,delprado1995,9,8.573183207999999e-8
9_delprado1995,green algae,neutral,36.834,bourgeana,-1.5647901743999996e-7,NA,10,r,delprado1995,9,1.5647901743999996e-7
9_delprado1995,green algae,neutral,36.834,bourgeana,-2.8912998971999993e-7,NA,15,r,delprado1995,9,2.8912998971999993e-7
9_delprado1995,green algae,neutral,36.834,bourgeana,-4.5420675539999995e-7,NA,20,r,delprado1995,9,4.5420675539999995e-7
9_delprado1995,green algae,neutral,36.834,bourgeana,-6.4286591604e-7,NA,25,r,delprado1995,9,6.4286591604e-7
9_delprado1995,green algae,neutral,36.834,bourgeana,-8.934288638399999e-7,NA,30,r,delprado1995,9,8.934288638399999e-7
5_domaschke2013,green algae,neutral,49.58,aculeata,-1.2830188679999998e-7,NA,0,r,domaschke2013,5,1.2830188679999998e-7
5_domaschke2013,green algae,neutral,49.58,aculeata,-1.5647798747999998e-7,NA,5,r,domaschke2013,5,1.5647798747999998e-7
5_domaschke2013,green algae,neutral,49.58,aculeata,-2.5710691823999995e-7,NA,10,r,domaschke2013,5,2.5710691823999995e-7
5_domaschke2013,green algae,neutral,49.58,aculeata,-2.5710691823999995e-7,NA,15,r,domaschke2013,5,2.5710691823999995e-7
5_domaschke2013,green algae,neutral,49.58,aculeata,-4.462893081599999e-7,NA,20,r,domaschke2013,5,4.462893081599999e-7
5_domaschke2013,green algae,neutral,49.58,aculeata,-5.4691823904e-7,NA,25,r,domaschke2013,5,5.4691823904e-7
5_domaschke2013,green algae,neutral,49.58,aculeata,-5.831446540799999e-7,NA,30,r,domaschke2013,5,5.831446540799999e-7
6_domaschke2013,green algae,neutral,41.39,aculeata,-6.389937107999999e-8,NA,0,r,domaschke2013,6,6.389937107999999e-8
6_domaschke2013,green algae,neutral,41.39,aculeata,-8.805031452e-8,NA,5,r,domaschke2013,6,8.805031452e-8
6_domaschke2013,green algae,neutral,41.39,aculeata,-1.48427673e-7,NA,10,r,domaschke2013,6,1.48427673e-7
6_domaschke2013,green algae,neutral,41.39,aculeata,-1.5647798747999998e-7,NA,15,r,domaschke2013,6,1.5647798747999998e-7
