tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,inv_T,temp,cnidarian_type,metabolic_category,study_id
4_jurriaans2019,shallow,hard,-23.26,spp,2.8614179166666667e-11,39.31735768778696,22,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-23.26,spp,2.969681901515151e-11,39.18459605453426,23,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-23.26,spp,3.353587825757575e-11,39.052727987717724,24,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-23.26,spp,3.5170304318181815e-11,38.92174449622782,25,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-23.26,spp,3.40499856060606e-11,38.79163670917708,26,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-23.26,spp,3.899010553030303e-11,38.66239587389746,27,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-23.26,spp,4.007358265151515e-11,38.53401335397749,28,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-23.26,spp,4.007358265151515e-11,38.53401335397749,28,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-23.26,spp,3.6749468106060606e-11,38.40648062733848,29,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-23.26,spp,3.948579212121212e-11,38.27978928434875,30,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-23.26,spp,3.836547340909091e-11,38.15393102597508,31,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-23.26,spp,3.669420575757576e-11,38.028897661970575,32,hermatypic coral,r,jurriaans2019
4_jurriaans2019,shallow,hard,-18.37,spp,3.447198909090909e-11,37.9046811090979,33,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,9.174311893939393e-12,39.18459605453426,23,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,9.452321363636364e-12,39.052727987717724,24,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,9.313316666666665e-12,38.92174449622782,25,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,9.730330833333332e-12,38.79163670917708,26,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,9.730330833333332e-12,38.66239587389746,27,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,1.3622463181818183e-11,38.53401335397749,28,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,1.862663333333333e-11,38.40648062733848,29,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,9.452321363636364e-12,38.40648062733848,29,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,1.9182652196969696e-11,38.27978928434875,30,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,2.001668053030303e-11,38.15393102597508,31,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,2.168473727272727e-11,38.028897661970575,32,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,2.3630803484848483e-11,37.9046811090979,33,hermatypic coral,r,jurriaans2019
5_jurriaans2019,shallow,hard,-18.37,spp,1.9599666363636362e-11,37.781273389387344,34,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,9.054178181818181e-12,39.31735768778696,22,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,8.209366363636362e-12,39.18459605453426,23,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.149678606060606e-11,39.052727987717724,24,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.285583106060606e-11,38.92174449622782,25,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.586776856060606e-11,38.79163670917708,26,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.1717171742424242e-11,38.66239587389746,27,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.4178145075757576e-11,38.53401335397749,28,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.498622590909091e-11,38.40648062733848,29,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.6622422575757578e-11,38.27978928434875,30,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.3865932045454546e-11,38.27978928434875,30,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.8530762196969698e-11,38.15393102597508,31,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.6584022045454545e-11,38.028897661970575,32,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.5739210303030304e-11,37.9046811090979,33,hermatypic coral,r,jurriaans2019
6_jurriaans2019,shallow,hard,-14.4,spp,1.682277318181818e-11,37.781273389387344,34,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,3.1781232196969694e-11,39.31735768778696,22,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,3.551522613636363e-11,39.18459605453426,23,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,3.8195375075757576e-11,39.052727987717724,24,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,4.0342096287878784e-11,38.92174449622782,25,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,4.249207015151515e-11,38.79163670917708,26,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,4.4642044015151517e-11,38.66239587389746,27,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,5.207750575757575e-11,38.53401335397749,28,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,4.5734920227272723e-11,38.53401335397749,28,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,5.633842212121212e-11,38.40648062733848,29,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,6.800227424242424e-11,38.27978928434875,30,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,7.01522481060606e-11,38.15393102597508,31,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-23.26,cylindrica,5.961705098484849e-11,38.028897661970575,32,hermatypic coral,r,jurriaans2019
10_jurriaans2019,shallow,hard,-18.37,cylindrica,4.062507318181818e-11,37.9046811090979,33,hermatypic coral,r,jurriaans2019
11_jurriaans2019,shallow,hard,-18.37,cylindrica,1.0054461666666667e-11,39.18459605453426,23,hermatypic coral,r,jurriaans2019
11_jurriaans2019,shallow,hard,-18.37,cylindrica,1.2149141212121212e-11,39.052727987717724,24,hermatypic coral,r,jurriaans2019
11_jurriaans2019,shallow,hard,-18.37,cylindrica,1.2288786515151514e-11,38.92174449622782,25,hermatypic coral,r,jurriaans2019
11_jurriaans2019,shallow,hard,-18.37,cylindrica,1.3405948863636363e-11,38.79163670917708,26,hermatypic coral,r,jurriaans2019
11_jurriaans2019,shallow,hard,-18.37,cylindrica,1.3405948863636363e-11,38.66239587389746,27,hermatypic coral,r,jurriaans2019
11_jurriaans2019,shallow,hard,-18.37,cylindrica,1.4802401893939393e-11,38.53401335397749,28,hermatypic coral,r,jurriaans2019
