paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m
1,howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,10,C,photosynthesis,0.001596808,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.223111023,SEM,9,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,npp,-38.15,,hermatypic coral,5.5,7-Apr
1,howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,13,C,photosynthesis,0.002603588,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.246151624,SEM,9,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,npp,-38.15,,hermatypic coral,5.5,7-Apr
1,howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,16,C,photosynthesis,0.005764484,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.2615361,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,npp,-38.15,,hermatypic coral,5.5,7-Apr
1,howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,18,C,photosynthesis,0.004232826,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.30768953,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,npp,-38.15,,hermatypic coral,5.5,7-Apr
1,howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,21,C,photosynthesis,0.003747601,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.361535197,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,npp,-38.15,,hermatypic coral,5.5,7-Apr
2,howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,10,C,respiration,0.001043039,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.061537906,SEM,9,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,r,-38.15,,hermatypic coral,5.5,7-Apr
2,howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,13,C,respiration,0.001649678,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.169229241,SEM,9,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,r,-38.15,,hermatypic coral,5.5,7-Apr
2,howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,16,C,respiration,0.002672204,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.115383574,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,r,-38.15,,hermatypic coral,5.5,7-Apr
2,howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,18,C,respiration,0.002525077,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.123075812,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,r,-38.15,,hermatypic coral,5.5,7-Apr
2,howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,21,C,respiration,0.001932232,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.092306859,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,r,-38.15,,hermatypic coral,5.5,7-Apr
1,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,12,C,net photosynthesis,10.68501307,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.965435121,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
1,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,14,C,net photosynthesis,21.55393113,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.045248569,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
1,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,16,C,net photosynthesis,30.76704264,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.701716667,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
1,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,18,C,net photosynthesis,41.08424569,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.724010188,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
1,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,20,C,net photosynthesis,46.61991863,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.068865147,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
1,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,22,C,net photosynthesis,56.2021632,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.780868587,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
1,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,26,C,net photosynthesis,63.59474746,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.620580161,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
1,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,28,C,net photosynthesis,71.15403698,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,8.827440214,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
1,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,30,C,net photosynthesis,64.36741309,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.885621672,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,12,C,net photosynthesis,25.21284689,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.966096649,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,14,C,net photosynthesis,38.47253002,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.045910098,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,16,C,net photosynthesis,43.64105448,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.862005094,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,18,C,net photosynthesis,46.60205735,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.206860054,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
2,nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,20,C,net photosynthesis,49.5623987,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.413720107,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
