paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,10,C,photosynthesis,9.95436196,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.21428571,SEM,9,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,npp,-38.15,,hermatypic coral,5.5,7-Apr
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,12.8,C,photosynthesis,10.9387475,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.24725275,SEM,9,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,npp,-38.15,,hermatypic coral,5.5,7-Apr
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,15.5,C,photosynthesis,14.0497169,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.24725275,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,npp,-38.15,,hermatypic coral,5.5,7-Apr
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,18.3,C,photosynthesis,12.5615749,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.30494505,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,npp,-38.15,,hermatypic coral,5.5,7-Apr
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,21,C,photosynthesis,12.0791377,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.36263736,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,npp,-38.15,,hermatypic coral,5.5,7-Apr
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,10,C,respiration,9.3939224,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.11538462,SEM,9,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,r,-38.15,,hermatypic coral,5.5,7-Apr
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,12.8,C,respiration,9.98270352,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.16483516,SEM,9,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,r,-38.15,,hermatypic coral,5.5,7-Apr
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,15.5,C,respiration,11.0167078,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.12362637,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,r,-38.15,,hermatypic coral,5.5,7-Apr
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,18.3,C,respiration,10.8802562,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.13186813,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,r,-38.15,,hermatypic coral,5.5,7-Apr
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,21,C,respiration,10.2989179,mmoles.core ^-1 h^-1 (x10^-3),o2,mmol,468 mm^2,hr,0.0989011,SEM,10,M,lab,day 1,days,,,300,300,umol m^-2  s^-1,r,-38.15,,hermatypic coral,5.5,7-Apr
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,12,C,net photosynthesis,10.68501307,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.965435121,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,14,C,net photosynthesis,21.55393113,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.045248569,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,16,C,net photosynthesis,30.76704264,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.701716667,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,18,C,net photosynthesis,41.08424569,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.724010188,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,20,C,net photosynthesis,46.61991863,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.068865147,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,npp,34.36,,hermatypic coral,3.5,4-Mar
