individual.ID,temp.Cat,treatment,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID
PV17,20,control,20.04955102,0.331659709,R,dark,PV17_D
PV17,20,control,20.29126531,0.334938612,NP,light,PV17_L
PV17,20,control,20.17040816,0.66659832,GP,light,PV17_L
PV17,22,control,21.80920408,0.312285848,R,dark,PV17_D
PV17,22,control,22.2725102,0.504971361,NP,light,PV17_L
PV17,22,control,22.04085714,0.817257209,GP,light,PV17_L
PV17,24,control,23.89463265,0.353664189,R,dark,PV17_D
PV17,24,control,24.22783673,0.652423914,NP,light,PV17_L
PV17,24,control,24.06123469,1.006088103,GP,light,PV17_L
PV17,28,control,28.06728571,0.475877376,R,dark,PV17_D
PV17,28,control,28.12404082,0.696404634,NP,light,PV17_L
PV17,28,control,28.09566327,1.17228201,GP,light,PV17_L
PV17,30,control,30.03808163,0.486012027,R,dark,PV17_D
PV17,30,control,30.01610204,0.648805276,NP,light,PV17_L
PV17,30,control,30.02709184,1.134817304,GP,light,PV17_L
PV17,32,control,31.86757407,0.489638191,R,dark,PV17_D
PV17,32,control,32.09281633,0.563931092,NP,light,PV17_L
PV17,32,control,31.9801952,1.053569283,GP,light,PV17_L
PV17,34,control,33.58612245,0.549410861,R,dark,PV17_D
PV17,34,control,34.22081633,0.432133599,NP,light,PV17_L
PV17,34,control,33.90346939,0.98154446,GP,light,PV17_L
PV17,36,control,35.64157143,0.542701549,R,dark,PV17_D
PV17,36,control,36.02689796,0.192661427,NP,light,PV17_L
PV17,36,control,35.83423469,0.735362975,GP,light,PV17_L
PV17,37,control,36.91828571,0.491816714,R,dark,PV17_D
PV17,37,control,36.83873469,-0.118632964,NP,light,PV17_L
PV17,37,control,36.8785102,0.37318375,GP,light,PV17_L
PV17,38,control,38.18114286,0.398245473,R,dark,PV17_D
PV17,39,control,38.92234694,0.380278116,R,dark,PV17_D
PV18,20,control,19.92387755,0.344201715,R,dark,PV18_D
PV18,20,control,20.37114286,0.165113815,NP,light,PV18_L
PV18,20,control,20.1475102,0.509315531,GP,light,PV18_L
PV18,22,control,21.95685714,0.298014866,R,dark,PV18_D
PV18,22,control,22.23385714,0.35846638,NP,light,PV18_L
PV18,22,control,22.09535714,0.656481246,GP,light,PV18_L
PV18,24,control,24.14142,0.322841208,R,dark,PV18_D
PV18,24,control,24.27516327,0.40342048,NP,light,PV18_L
PV18,24,control,24.20829163,0.726261688,GP,light,PV18_L
PV18,28,control,28.06118367,0.378582636,R,dark,PV18_D
PV18,28,control,28.13016,0.541241452,NP,light,PV18_L
PV18,28,control,28.09567184,0.919824088,GP,light,PV18_L
PV18,30,control,29.8315102,0.443453194,R,dark,PV18_D
PV18,30,control,30.16,0.491532718,NP,light,PV18_L
PV18,30,control,29.9957551,0.934985911,GP,light,PV18_L
PV18,32,control,31.71697959,0.49117082,R,dark,PV18_D
PV18,32,control,32.0074898,0.471388379,NP,light,PV18_L
PV18,32,control,31.86223469,0.962559199,GP,light,PV18_L
PV18,34,control,33.8292449,0.559507386,R,dark,PV18_D
PV18,34,control,34.02302041,0.328540693,NP,light,PV18_L
PV18,34,control,33.92613265,0.888048079,GP,light,PV18_L
PV18,36,control,35.97179592,0.466807267,R,dark,PV18_D
PV18,36,control,36.14885714,0.029975565,NP,light,PV18_L
PV18,36,control,36.06032653,0.496782832,GP,light,PV18_L
PV18,37,control,36.6884898,0.432513685,R,dark,PV18_D
PV18,37,control,37.09325,-0.238578796,NP,light,PV18_L
PV18,37,control,36.8908699,0.193934889,GP,light,PV18_L
PV18,38,control,38.05869388,0.092442268,R,dark,PV18_D
PV18,39,control,38.70104167,0.396209714,R,dark,PV18_D
PV19,20,control,20.1027551,0.215889405,R,dark,PV19_D
PV19,20,control,20.22965306,0.361284216,NP,light,PV19_L
PV19,20,control,20.16620408,0.577173621,GP,light,PV19_L
PV19,22,control,21.89730612,0.206740249,R,dark,PV19_D
PV19,22,control,22.18706122,0.485623228,NP,light,PV19_L
PV19,22,control,22.04218367,0.692363478,GP,light,PV19_L
PV19,24,control,24.01808163,0.250853422,R,dark,PV19_D
PV19,24,control,24.15922449,0.60828676,NP,light,PV19_L
PV19,24,control,24.08865306,0.859140182,GP,light,PV19_L
PV19,28,control,28.16185714,0.316619675,R,dark,PV19_D
PV19,28,control,28.06687755,0.784172242,NP,light,PV19_L
PV19,28,control,28.11436735,1.100791917,GP,light,PV19_L
PV19,30,control,30.16206122,0.327367681,R,dark,PV19_D
PV19,30,control,29.99410204,0.725817385,NP,light,PV19_L
PV19,30,control,30.07808163,1.053185066,GP,light,PV19_L
PV19,32,control,31.94114815,0.358486099,R,dark,PV19_D
PV19,32,control,32.04204082,0.634948985,NP,light,PV19_L
