paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m,npp,r,gpp
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,12,C,net photosynthesis,10.68501307,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,4.965435121,SD,6,M,lab,NA,NA,season,summer,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,-10.68501307,-5.391705069,16.0780042
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,14,C,net photosynthesis,21.55393113,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,4.045248569,SD,6,M,lab,NA,NA,season,summer,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,21.55393113,-8.341013825,29.9912325
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,16,C,net photosynthesis,30.76704264,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,5.701716667,SD,6,M,lab,NA,NA,season,summer,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,30.76704264,-11.29032258,42.09931188
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,18,C,net photosynthesis,41.08424569,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,7.724010188,SD,6,M,lab,NA,NA,season,summer,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,41.08424569,-11.47465438,52.76378225
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,20,C,net photosynthesis,46.61991863,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,6.068865147,SD,6,M,lab,NA,NA,season,summer,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,46.61991863,-12.76497696,63.24780148
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,22,C,net photosynthesis,56.2021632,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,4.780868587,SD,6,M,lab,NA,NA,season,summer,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,56.2021632,-15.52995392,71.56640718
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,26,C,net photosynthesis,63.59474746,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,6.620580161,SD,6,M,lab,NA,NA,season,summer,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,63.59474746,-19.03225806,83.15226228
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,28,C,net photosynthesis,71.15403698,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,8.827440214,SD,6,M,lab,NA,NA,season,summer,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,71.15403698,-19.03225806,90.02725896
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,30,C,net photosynthesis,64.36741309,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,5.885621672,SD,6,M,lab,NA,NA,season,summer,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,64.36741309,-26.22119816,90.76755493
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,12,C,net photosynthesis,25.21284689,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,4.966096649,SD,6,M,lab,NA,NA,season,winter,400,400,umol m^-2  s^-1,npp,34.36,NA,hermatypic coral,3.5,4-Mar,25.21284689,-9.078341014,34.12311698
