paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m,npp,r,gpp
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,10,C,photosynthesis,0.001596808,mmoles.core ^-1 h^-1 (x10^-3),mmol_o2,468 mm^2,hr,0.223111023,SEM,9,M,lab,day 1,days,NA,NA,300,300,umol m^-2  s^-1,npp,-38.15,NA,hermatypic coral,5.5,7-Apr,0.001596808,-0.001043039,0.002639846
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,13,C,photosynthesis,0.002603588,mmoles.core ^-1 h^-1 (x10^-3),mmol_o2,468 mm^2,hr,0.246151624,SEM,9,M,lab,day 1,days,NA,NA,300,300,umol m^-2  s^-1,npp,-38.15,NA,hermatypic coral,5.5,7-Apr,0.002603588,-0.001649678,0.004253266
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,16,C,photosynthesis,0.005764484,mmoles.core ^-1 h^-1 (x10^-3),mmol_o2,468 mm^2,hr,0.2615361,SEM,10,M,lab,day 1,days,NA,NA,300,300,umol m^-2  s^-1,npp,-38.15,NA,hermatypic coral,5.5,7-Apr,0.005764484,-0.002672204,0.008436688
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,18,C,photosynthesis,0.004232826,mmoles.core ^-1 h^-1 (x10^-3),mmol_o2,468 mm^2,hr,0.30768953,SEM,10,M,lab,day 1,days,NA,NA,300,300,umol m^-2  s^-1,npp,-38.15,NA,hermatypic coral,5.5,7-Apr,0.004232826,-0.002525077,0.006757902
howe2001,howe2001,figure 1,pop,Plesiastrea,versipora,21,C,photosynthesis,0.003747601,mmoles.core ^-1 h^-1 (x10^-3),mmol_o2,468 mm^2,hr,0.361535197,SEM,10,M,lab,day 1,days,NA,NA,300,300,umol m^-2  s^-1,npp,-38.15,NA,hermatypic coral,5.5,7-Apr,0.003747601,-0.001932232,0.005679833
samiel2015,samiel2015,figure 2a,pop,Acropora,downingi,20.2,C,net photosynthesis,0.118,mg O2 l^-1 min^-1,mg_o2,l,hr,0.032,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,0.118,0.043,0.161
samiel2015,samiel2015,figure 2a,pop,Acropora,downingi,23,C,net photosynthesis,0.127,mg O2 l^-1 min^-1,mg_o2,l,hr,0.032,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,0.127,0.068,0.195
samiel2015,samiel2015,figure 2a,pop,Acropora,downingi,32,C,net photosynthesis,0.12,mg O2 l^-1 min^-1,mg_o2,l,hr,0.023,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,0.12,0.108,0.228
samiel2015,samiel2015,figure 2a,pop,Acropora,downingi,34.2,C,net photosynthesis,0.055,mg O2 l^-1 min^-1,mg_o2,l,hr,0.023,SEM,3,M,lab,NA,NA,NA,NA,120,120,umol m^-2  s^-1,npp,26.64525131,NA,hermatypic coral,4,4,0.055,0.134,0.189
juillet-leclerc2014,juillet-leclerc2014,figure 2a,pop,Acropora,sp.,22,C,net photosynthesis,0.298963731,umol O2 cm^-2 s^-1,umol_o2,cm^2,sec,0.085492228,SEM,6,M,lab,NA,NA,NA,NA,400,400,umol m^-2  s^-1,npp,43.7328,NA,hermatypic coral,3.5,4-Mar,0.298963731,-0.416321244,0.715284975
juillet-leclerc2014,juillet-leclerc2014,figure 2a,pop,Acropora,sp.,25,C,net photosynthesis,0.458549223,umol O2 cm^-2 s^-1,umol_o2,cm^2,sec,0.094041451,SEM,6,M,lab,NA,NA,NA,NA,400,400,umol m^-2  s^-1,npp,43.7328,NA,hermatypic coral,3.5,4-Mar,0.458549223,-0.718393782,1.176943005
juillet-leclerc2014,juillet-leclerc2014,figure 2a,pop,Acropora,sp.,28,C,net photosynthesis,0.703626943,umol O2 cm^-2 s^-1,umol_o2,cm^2,sec,0.290673575,SEM,6,M,lab,NA,NA,NA,NA,400,400,umol m^-2  s^-1,npp,43.7328,NA,hermatypic coral,3.5,4-Mar,0.703626943,-0.977720207,1.68134715
rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,20,C,respiration,-4.863157895,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.110526316,SEM,6,M,lab,0,days,NA,NA,0,110,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,1.876923077,-4.863157895,6.740080972
rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,24,C,respiration,-4.515789474,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.236842105,SEM,6,M,lab,0,days,NA,NA,0,110,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,1.630769231,-4.515789474,6.146558705
rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,26,C,respiration,-4.736842105,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.173684211,SEM,6,M,lab,0,days,NA,NA,0,110,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,1.907692308,-4.736842105,6.644534413
rodolfo-metalpa2006,rodolfo-metalpa2006,figure 3c,pop,Cladocora,caespitosa,28,C,respiration,-4.894736842,ug O2 ug chla^-1 h^-1,ug_o2,chla,hr,0.157894737,SEM,6,M,lab,0,days,NA,NA,0,110,umol m^-2  s^-1,r,44.03,NA,hermatypic coral,7,7,1.630769231,-4.894736842,6.525506073
bahr2018,bahr2018,figure 1a,pop,Leptastrea,purpurea,23,C,net photosynthesis,0.050524109,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.00293501,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,0.050524109,0.024757895,0.075282004
bahr2018,bahr2018,figure 1a,pop,Leptastrea,purpurea,26,C,net photosynthesis,0.047589099,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.002096436,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,0.047589099,0.026526316,0.074115415
bahr2018,bahr2018,figure 1a,pop,Leptastrea,purpurea,30,C,net photosynthesis,0.037945493,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.007337526,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,0.037945493,0.031831579,0.069777072
bahr2018,bahr2018,figure 1a,pop,Montipora,capitata,23,C,net photosynthesis,0.05932914,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.004192872,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,0.05932914,0.034610526,0.093939666
bahr2018,bahr2018,figure 1a,pop,Montipora,capitata,26,C,net photosynthesis,0.050943396,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.003144654,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,0.050943396,0.035368421,0.086311817
bahr2018,bahr2018,figure 1a,pop,Montipora,capitata,30,C,net photosynthesis,0.051781971,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.006289308,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,0.051781971,0.040673684,0.092455655
bahr2018,bahr2018,figure 1a,pop,Pocillopora,damicornis,23,C,net photosynthesis,0.048427673,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.003773585,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,0.048427673,0.025768421,0.074196094
bahr2018,bahr2018,figure 1a,pop,Pocillopora,damicornis,26,C,net photosynthesis,0.040041929,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.005031447,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,0.040041929,0.029305263,0.069347192
bahr2018,bahr2018,figure 1a,pop,Pocillopora,damicornis,30,C,net photosynthesis,0.043396226,mg O2 g CaCO3 h^−1,mg_o2,g CaCO3,hr,0.007337526,SEM,10,M,lab,NA,NA,pH,8,500,500,umol m^-2  s^-1,npp,21.4,NA,hermatypic coral,4,4,0.043396226,0.041178947,0.084575173
godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,23,C,dark respiration,0.085588235,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.006176471,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,0.255319149,0.085588235,0.340907384
godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,24,C,dark respiration,0.083823529,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.012352941,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,0.234042553,0.083823529,0.317866082
godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,25,C,dark respiration,0.110294118,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007941176,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,0.219148936,0.110294118,0.329443054
godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,26,C,dark respiration,0.127941176,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007058824,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,0.20106383,0.127941176,0.329005006
godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,27,C,dark respiration,0.131470588,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007941176,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,0.174468085,0.131470588,0.305938673
godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,28,C,dark respiration,0.124411765,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007058824,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,0.172340426,0.124411765,0.296752191
godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,29,C,dark respiration,0.132352941,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.009705882,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,0.169148936,0.132352941,0.301501877
godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,30,C,dark respiration,0.143823529,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007058824,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,0.159574468,0.143823529,0.303397997
godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,31,C,dark respiration,0.154411765,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.006176471,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,0.163829787,0.154411765,0.318241552
godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,32,C,dark respiration,0.168529412,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.008823529,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,0.122340426,0.168529412,0.290869838
godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,23,C,dark respiration,0.02920354,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004424779,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,-0.023487544,0.02920354,0.005715996
godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,24,C,dark respiration,0.028318584,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.005309735,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,-0.026690391,0.028318584,0.001628193
godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,25,C,dark respiration,0.037168142,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004867257,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,-0.026690391,0.037168142,0.010477751
godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,26,C,dark respiration,0.042477876,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.005309735,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,-0.035231317,0.042477876,0.007246559
godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,27,C,dark respiration,0.042477876,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004867257,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,-0.035231317,0.042477876,0.007246559
godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,28,C,dark respiration,0.047787611,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.004867257,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,-0.029893238,0.047787611,0.017894373
godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,29,C,dark respiration,0.056637168,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.006637168,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,-0.027758007,0.056637168,0.028879161
godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,30,C,dark respiration,0.061946903,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.00619469,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,-0.034163701,0.061946903,0.027783202
godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,31,C,dark respiration,0.067256637,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007079646,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,-0.039501779,0.067256637,0.027754858
godefroid2023,godefroid2023,figure 2b,pop,Pachyseris,speciosa,32,C,dark respiration,0.07699115,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007964602,SEM,5,M,lab,NA,NA,NA,NA,200-250,225,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,85,85,-0.04911032,0.07699115,0.02788083
hill2014,hill2014,figure 7a,pop,Pocillopora,damicornis,26,C,net primary production,0.647230321,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.177259475,SEM,4,M,lab,3,hr,NA,NA,600,600,umol m^-2  s^-1,npp,-23.27,NA,hermatypic coral,3.25,3-3.5,0.647230321,-0.288046647,0.935276968
hill2014,hill2014,figure 7a,pop,Pocillopora,damicornis,30,C,net primary production,0.560932945,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.037317784,SEM,4,M,lab,3,hr,NA,NA,600,600,umol m^-2  s^-1,npp,-23.27,NA,hermatypic coral,3.25,3-3.5,0.560932945,-0.227405248,0.788338193
