latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit,gpp_value,npp_value,r_value
32.3078,spp,3.8677982244318185e-5,38.92174449622782,25,npp,perez2001,9,,3.8677982244318185e-5,-4.89E-05
24.6507,spp,1.6534271875e-4,38.92174449622782,25,npp,perez2001,10,,1.6534271875e-4,-1.36E-04
24.6507,spp,6.876085724431817e-5,38.92174449622782,25,npp,perez2001,11,,6.876085724431817e-5,-3.97E-05
24.6507,spp,3.076143607954545e-5,38.92174449622782,25,npp,perez2001,12,,3.076143607954545e-5,-1.10E-04
32.3078,spp,-4.07E-06,38.028897661970575,32,npp,perez2001,9,,-4.07E-06,-1.80E-05
24.6507,spp,2.442819886363636e-5,38.028897661970575,32,npp,perez2001,10,,2.442819886363636e-5,-2.53E-05
24.6507,spp,-1.26E-04,38.028897661970575,32,npp,perez2001,11,,-1.26E-04,-1.83E-05
32.3078,spp,-3.42E-05,37.781273389387344,34,npp,perez2001,9,,-3.42E-05,-9.13E-05
24.6507,spp,-4.07E-06,37.781273389387344,34,npp,perez2001,10,,-4.07E-06,-2.20E-05
24.6507,spp,-6.58E-05,37.781273389387344,34,npp,perez2001,11,,-6.58E-05,-4.59E-05
24.6507,spp,-9.91E-05,37.781273389387344,34,npp,perez2001,12,,-9.91E-05,-2.70E-05
43,sp. (Avir),1.5164227174623934e-8,40.98364161,10,gpp,pierangelini2020,9,1.5164227174623934e-8,,-8.82E-09
43,sp. (Avir),2.0004311432308697e-8,40.27249044438772,15,gpp,pierangelini2020,9,2.0004311432308697e-8,,-9.64E-09
43,sp. (Avir),4.0193594238064094e-8,39.58559823145258,20,gpp,pierangelini2020,9,4.0193594238064094e-8,,-1.24E-08
43,sp. (Avir),5.709107168083715e-8,38.92174449622782,25,gpp,pierangelini2020,9,5.709107168083715e-8,,-1.65E-08
43,sp. (Avir),6.24792192674951e-8,38.27978928434875,30,gpp,pierangelini2020,9,6.24792192674951e-8,,-1.76E-08
43,sp. (Avir),4.3207942531066054e-8,37.65866662842876,35,gpp,pierangelini2020,9,4.3207942531066054e-8,,-1.71E-08
43,sp. (Avir),1.4626440026160886e-9,37.05737864138695,40,gpp,pierangelini2020,9,1.4626440026160886e-9,,-2.54E-08
22,sp. (Stylodid),2.1983940732504905e-8,40.27249044438772,15,gpp,pierangelini2020,10,2.1983940732504905e-8,,-5.50E-09
22,sp. (Stylodid),3.434990739045127e-8,39.58559823145258,20,gpp,pierangelini2020,10,3.434990739045127e-8,,-1.10E-08
22,sp. (Stylodid),4.836466960758666e-8,38.92174449622782,25,gpp,pierangelini2020,10,4.836466960758666e-8,,-1.29E-08
22,sp. (Stylodid),5.303625701111838e-8,38.27978928434875,30,gpp,pierangelini2020,10,5.303625701111838e-8,,-1.81E-08
22,sp. (Stylodid),2.528153183780248e-8,37.65866662842876,35,gpp,pierangelini2020,10,2.528153183780248e-8,,-1.76E-08
22,sp. (Stylodid),1.4839159993459777e-8,37.05737864138695,40,gpp,pierangelini2020,10,1.4839159993459777e-8,,-2.89E-08
24.46,trenchii,1.3544478116415957e-8,40.27249044438772,15,gpp,pierangelini2020,11,1.3544478116415957e-8,,-5.97E-09
24.46,trenchii,3.0584751151079135e-8,39.58559823145258,20,gpp,pierangelini2020,11,3.0584751151079135e-8,,-7.16E-09
24.46,trenchii,4.707405650098103e-8,38.92174449622782,25,gpp,pierangelini2020,11,4.707405650098103e-8,,-9.46E-09
24.46,trenchii,4.034672390451275e-8,38.27978928434875,30,gpp,pierangelini2020,11,4.034672390451275e-8,,-1.26E-08
24.46,trenchii,2.091259130804447e-8,37.65866662842876,35,gpp,pierangelini2020,11,2.091259130804447e-8,,-1.52E-08
24.46,trenchii,9.499442773054284e-11,37.05737864138695,40,gpp,pierangelini2020,11,9.499442773054284e-11,,-1.80E-08
-41.29,voratum,5.382661394375409e-8,40.27249044438772,15,gpp,pierangelini2020,12,5.382661394375409e-8,,-2.98E-08
-41.29,voratum,7.225871857423152e-8,39.58559823145258,20,gpp,pierangelini2020,12,7.225871857423152e-8,,-3.65E-08
-41.29,voratum,9.436622138652715e-8,38.92174449622782,25,gpp,pierangelini2020,12,9.436622138652715e-8,,-4.31E-08
-41.29,voratum,1.0140815114453892e-7,38.27978928434875,30,gpp,pierangelini2020,12,1.0140815114453892e-7,,-4.57E-08
-41.29,voratum,5.627687939829955e-8,37.65866662842876,35,gpp,pierangelini2020,12,5.627687939829955e-8,,-5.75E-08
-41.29,voratum,4.898234499672989e-9,37.05737864138695,40,gpp,pierangelini2020,12,4.898234499672989e-9,,-4.94E-08
21.4628,unknown,3.547086822348485e-5,39.58559823145258,20,npp,gregoire2017,13,,3.547086822348485e-5,-9.94E-06
21.4628,unknown,6.751146333333334e-5,38.66239587389746,27,npp,gregoire2017,13,,6.751146333333334e-5,-1.60E-05
21.4628,unknown,1.503937400378788e-5,38.27978928434875,30,npp,gregoire2017,13,,1.503937400378788e-5,-1.79E-05
24.691402,minutum,5.8867872803030313e-5,39.58559823145258,20,npp,gregoire2017,14,,5.8867872803030313e-5,-3.87E-05
24.691402,minutum,7.766833632575758e-5,38.66239587389746,27,npp,gregoire2017,14,,7.766833632575758e-5,-2.24E-05
24.691402,minutum,5.752467106060608e-5,38.27978928434875,30,npp,gregoire2017,14,,5.752467106060608e-5,-1.69E-05
24.691402,psygmophilum,5.226185125000001e-5,39.58559823145258,20,npp,gregoire2017,15,,5.226185125000001e-5,-6.96E-06
24.691402,psygmophilum,1.0252267579545454e-4,38.66239587389746,27,npp,gregoire2017,15,,1.0252267579545454e-4,-1.94E-05
24.691402,psygmophilum,4.6047379696969695e-5,38.27978928434875,30,npp,gregoire2017,15,,4.6047379696969695e-5,-7.24E-06
7.515,unknown,1.8033006090909093e-5,39.58559823145258,20,npp,gregoire2017,16,,1.8033006090909093e-5,-3.91E-06
7.515,unknown,3.949580757575758e-5,38.66239587389746,27,npp,gregoire2017,16,,3.949580757575758e-5,-5.32E-06
7.515,unknown,3.723679572727273e-5,38.27978928434875,30,npp,gregoire2017,16,,3.723679572727273e-5,-5.04E-06
7.515,unknown,3.244077348863636e-5,37.90468111,33,npp,gregoire2017,16,,3.244077348863636e-5,-5.60E-06
24.691402,trenchii,1.0101010102272728e-4,39.58559823145258,20,npp,gregoire2017,17,,1.0101010102272728e-4,-2.15E-05
24.691402,trenchii,1.290129012878788e-4,38.66239587389746,27,npp,gregoire2017,17,,1.290129012878788e-4,-2.68E-05
24.691402,trenchii,1.4476447643939396e-4,38.27978928434875,30,npp,gregoire2017,17,,1.4476447643939396e-4,-3.38E-05
24.691402,trenchii,1.290129012878788e-4,37.90468111,33,npp,gregoire2017,17,,1.290129012878788e-4,-5.30E-05
9.2389,unknown,3.275327532575758e-5,39.58559823145258,20,npp,gregoire2017,18,,3.275327532575758e-5,-7.50E-06
9.2389,unknown,1.1151115109848486e-4,38.66239587389746,27,npp,gregoire2017,18,,1.1151115109848486e-4,-2.85E-05
9.2389,unknown,9.400940094696972e-5,38.27978928434875,30,npp,gregoire2017,18,,9.400940094696972e-5,-1.54E-05
9.2389,unknown,4.500450045454546e-5,37.90468111,33,npp,gregoire2017,18,,4.500450045454546e-5,-1.45E-05
21.4691,microadriaticum,,39.58559823145258,20,npp,iglesios-prieto1992,3,,2.23124897383911e-8,5.33695315238718e-9
21.4691,microadriaticum,,38.92174449622782,25,npp,iglesios-prieto1992,3,,3.615438568999345e-8,1.1565486612164812e-8
21.4691,microadriaticum,,38.27978928434875,30,npp,iglesios-prieto1992,3,,3.3504735284499666e-8,6.778049960758664e-9
21.4691,microadriaticum,,37.65866662842876,35,npp,iglesios-prieto1992,3,,-5.90E-09,1.0057666965336817e-8
-18.37,sp.,4.344114105079571e-8,38.53401335397749,28,npp,leggat2004,5,,4.344114105079571e-8,-1.79E-08
-18.37,sp.,5.708721560933069e-8,38.40648062733848,29,npp,leggat2004,5,,5.708721560933069e-8,-2.04E-08
-18.37,sp.,4.6265878460867655e-8,38.15393102597508,31,npp,leggat2004,5,,4.6265878460867655e-8,-1.41E-08
-18.37,sp.,3.803047253106605e-8,37.90468111,33,npp,leggat2004,5,,3.803047253106605e-8,-1.24E-08
