paper_id,study_id,source,org_level,genus,species,temp,temp_units,ramp_duration,ramp_duration_units,ramp_rate_per_day,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,22,C,10,days,0.5,photosynthesis rate,0.767272727,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.267272727,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,23,C,10,days,0.5,photosynthesis rate,0.760909091,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.197272727,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,24,C,10,days,0.5,photosynthesis rate,0.652727273,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.267272727,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,25,C,10,days,0.5,photosynthesis rate,0.716363636,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.324545455,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,26,C,10,days,0.5,photosynthesis rate,0.614545455,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.254545455,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,27,C,10,days,0.5,photosynthesis rate,0.627272727,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.286363636,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,28,C,10,days,0.5,photosynthesis rate,0.525454545,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.248181818,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,28,C,10,days,0.5,photosynthesis rate,0.601818182,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.311818182,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,29,C,10,days,0.5,photosynthesis rate,0.493636364,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.184545455,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,30,C,10,days,0.5,photosynthesis rate,0.576363636,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.273636364,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,31,C,10,days,0.5,photosynthesis rate,0.538181818,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.178181818,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,32,C,10,days,0.5,photosynthesis rate,0.589090909,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.203636364,SD,10,M,lab,,,location,heron island,350,350,umol m^-2 s^-1,npp,-23.26,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2a,pop,Acropora,spp,33,C,10,days,0.5,photosynthesis rate,0.041818182,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.120909091,SD,10,M,lab,,,location,orpheus island,350,350,umol m^-2 s^-1,npp,-18.37,,hermatypic coral,5,4-6
jurriaans2019,jurriaans2019,figure 2b,pop,Acropora,spp,23,C,10,days,0.5,photosynthesis rate,0.216289593,umol O2 hr^-1 cm^-2,O2,umol,cm^2,hr,0.039819005,SD,10,M,lab,,,location,orpheus island,350,350,umol m^-2 s^-1,npp,-18.37,,hermatypic coral,5,4-6
