paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,elevation_metre,latitude,latitude_broad,elevation_broad,lichen_type,npp_value,r_value,npp_error,r_error,n
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,2,C,net photosynthesis,410.5516387,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae,410.5516387,10.1379763,15.66852368,13.9275766,5
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,5,C,net photosynthesis,643.6552891,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae,643.6552891,44.76949528,20.89240614,20.89240614,5
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,10,C,net photosynthesis,782.6207667,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae,782.6207667,148.9181138,48.74755934,47.87604457,5
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,15,C,net photosynthesis,679.5925184,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae,679.5925184,329.6642388,54.83983287,55.71030641,5
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,20,C,net photosynthesis,499.9646813,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae,499.9646813,597.4577175,74.86072423,73.11977716,5
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,25,C,net photosynthesis,233.2915728,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae,233.2915728,875.7010436,81.82451253,81.82451253,5
aubert_2007,aubert_2007,figure 1,pop,xanthoria ,elegans,30,C,net photosynthesis,-64.72691288,nmol CO2 * min^-1 *g^-1 dry wt,co2,nmol,g,min,,SD,5,T,lab,,,,,500,500,umol *m^-2 *s^-1,npp,2800,44.6008723,temperate,high,green algae,-64.72691288,1124.342022,92.27019499,90.53028915,5
colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,5,C,net photosynthesis,1.91304348,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,,SD,,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,cyanobacteria,1.91304348,-0.7859425,0.52173913,0.2971246,3
colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,15,C,net photosynthesis,2.14492754,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,,SD,,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,cyanobacteria,2.14492754,-1.9361022,0.2173913,0.1341853,3
colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,23,C,net photosynthesis,1.91304348,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,,SD,,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,cyanobacteria,1.91304348,-2.4728435,1.02898551,0.84345048,3
colesie2018,colesie2018,figure 3,pop,usnea ,aurantiaco-atra,5,C,net photosynthesis,0.75362319,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,,SD,,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,green algae,0.75362319,-0.4025559,0.31884058,0.14376997,3
colesie2018,colesie2018,figure 3,pop,usnea ,aurantiaco-atra,15,C,net photosynthesis,0.92753623,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,,SD,,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,green algae,0.92753623,-0.9776358,0.92753623,0.32587859,3
colesie2018,colesie2018,figure 3,pop,usnea ,aurantiaco-atra,23,C,net photosynthesis,-0.8115942,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,,SD,,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,green algae,-0.8115942,-3.1054313,0.39130435,1.53354633,3
colesie2018,colesie2018,figure 3,pop,placopsis,contortuplicata,5,C,net photosynthesis,1.27536232,umol CO2 *g^-1 *s^-1,co2,umol,g,sec,,SD,,T,lab,1,week,,,500,500,umol *m^-2 *s^-1,npp,,-62,antarctic,neutral,cyanobacteria,1.27536232,-0.8626198,0.23188406,0.23961661,3
