study_id,metabolic_category,n
adams_1971,npp,15
adams_1971,r,15
aubert_2007,npp,7
aubert_2007,r,7
brownkershaw1984,npp,29
brownkershaw1984,r,38
colesie2018,npp,9
colesie2018,r,9
coxson_2003,npp,14
coxson_2003,r,14
delprado_1995,npp,14
delprado_1995,r,14
domaschke_2013,npp,28
domaschke_2013,r,28
eickmeieradams1973,npp,15
eickmeieradams1973,r,15
kappen1983,npp,17
kappen1983,r,23
kappen_2000,npp,7
kappen_2000,r,6
kershaw1977,npp,32
kershaw1977,r,31
kershaw1983,npp,30
kershaw1983,r,31
lange2000,npp,33
lange2000,r,12
lange2004,npp,41
lange2004,r,25
lange_1980,npp,3
lange_1980,r,3
lange_1991,npp,7
lange_1991,r,44
larson1980,npp,30
larson1980,r,30
lechowicz1973,npp,36
lechowicz1973,r,36
lechowiczadams1974,npp,81
lechowiczadams1974,r,81
macfarlane1983,npp,35
macfarlane1983,r,37
reiter2000,npp,8
reiter2000,r,8
sancho1997,npp,12
sancho1997,r,12
sanchokappen1989,npp,67
sanchokappen1989,r,60
schroeter1995,npp,7
schroeter1995,r,7
smith2001,npp,13
smith2001,r,11
sonesson1989,npp,15
sonesson1989,r,15
sundberg1997,npp,12
sundberg1997,r,11
tretiach1997,npp,100
tretiach1997,r,63
uchida2006,npp,5
uchida2006,r,5
zotz1998,npp,16
zotz1998,r,12
