paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,response_correction,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,elevation_metre,latitude,latitude_broad,elevation_broad,lichen_type,inv_T,mol,gram,min,npp_value,r_value,npp_error,r_error,n
1,aubert2007,aubert2007,figure 1,pop,xanthoria,elegans,2,C,net photosynthesis,410.5516387,nmol CO2 * min^-1 *g^-1 dry wt,nmol_co2,g,min,15.66852368,SD,5,T,lab,NA,NA,NA,NA,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,42.17524304,4.11E-07,1,1,410.5516387,10.1379763,15.66852368,13.9275766,5
1,aubert2007,aubert2007,figure 1,pop,xanthoria,elegans,5,C,net photosynthesis,643.6552891,nmol CO2 * min^-1 *g^-1 dry wt,nmol_co2,g,min,20.89240614,SD,5,T,lab,NA,NA,NA,NA,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,41.72035996,6.44E-07,1,1,643.6552891,44.76949528,20.89240614,20.89240614,5
1,aubert2007,aubert2007,figure 1,pop,xanthoria,elegans,10,C,net photosynthesis,782.6207667,nmol CO2 * min^-1 *g^-1 dry wt,nmol_co2,g,min,48.74755934,SD,5,T,lab,NA,NA,NA,NA,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,40.98364161,7.83E-07,1,1,782.6207667,148.9181138,48.74755934,47.87604457,5
1,aubert2007,aubert2007,figure 1,pop,xanthoria,elegans,15,C,net photosynthesis,679.5925184,nmol CO2 * min^-1 *g^-1 dry wt,nmol_co2,g,min,54.83983287,SD,5,T,lab,NA,NA,NA,NA,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,40.27249044,6.80E-07,1,1,679.5925184,329.6642388,54.83983287,55.71030641,5
1,aubert2007,aubert2007,figure 1,pop,xanthoria,elegans,20,C,net photosynthesis,499.9646813,nmol CO2 * min^-1 *g^-1 dry wt,nmol_co2,g,min,74.86072423,SD,5,T,lab,NA,NA,NA,NA,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,39.58559823,5.00E-07,1,1,499.9646813,597.4577175,74.86072423,73.11977716,5
1,aubert2007,aubert2007,figure 1,pop,xanthoria,elegans,25,C,net photosynthesis,233.2915728,nmol CO2 * min^-1 *g^-1 dry wt,nmol_co2,g,min,81.82451253,SD,5,T,lab,NA,NA,NA,NA,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,38.9217445,2.33E-07,1,1,233.2915728,875.7010436,81.82451253,81.82451253,5
1,aubert2007,aubert2007,figure 1,pop,xanthoria,elegans,30,C,net photosynthesis,-64.72691288,nmol CO2 * min^-1 *g^-1 dry wt,nmol_co2,g,min,92.27019499,SD,5,T,lab,NA,NA,NA,NA,500,500,umol *m^-2 *s^-1,2800,44.6008723,temperate,high,green algae,38.27978928,-6.47E-08,1,1,-64.72691288,1124.342022,92.27019499,90.53028915,5
1,colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,5,C,net photosynthesis,1.91304348,umol CO2 *g^-1 *s^-1,umol_co2,g,sec,0.52173913,SD,3,T,lab,1,week,NA,NA,500,500,umol *m^-2 *s^-1,NA,-62,antarctic,neutral,cyanobacteria,41.72035996,1.91E-06,1,0.016666667,1.91304348,-0.7859425,0.52173913,0.2971246,3
1,colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,15,C,net photosynthesis,2.14492754,umol CO2 *g^-1 *s^-1,umol_co2,g,sec,0.2173913,SD,3,T,lab,1,week,NA,NA,500,500,umol *m^-2 *s^-1,NA,-62,antarctic,neutral,cyanobacteria,40.27249044,2.14E-06,1,0.016666667,2.14492754,-1.9361022,0.2173913,0.1341853,3
1,colesie2018,colesie2018,figure 3,pop,stereocaulon,alpinum,23,C,net photosynthesis,1.91304348,umol CO2 *g^-1 *s^-1,umol_co2,g,sec,1.02898551,SD,3,T,lab,1,week,NA,NA,500,500,umol *m^-2 *s^-1,NA,-62,antarctic,neutral,cyanobacteria,39.18459605,1.91E-06,1,0.016666667,1.91304348,-2.4728435,1.02898551,0.84345048,3
2,colesie2018,colesie2018,figure 3,pop,usnea,aurantiaco-atra,5,C,net photosynthesis,0.75362319,umol CO2 *g^-1 *s^-1,umol_co2,g,sec,0.31884058,SD,3,T,lab,1,week,NA,NA,500,500,umol *m^-2 *s^-1,NA,-62,antarctic,neutral,green algae,41.72035996,7.54E-07,1,0.016666667,0.75362319,-0.4025559,0.31884058,0.14376997,3
2,colesie2018,colesie2018,figure 3,pop,usnea,aurantiaco-atra,15,C,net photosynthesis,0.92753623,umol CO2 *g^-1 *s^-1,umol_co2,g,sec,0.92753623,SD,3,T,lab,1,week,NA,NA,500,500,umol *m^-2 *s^-1,NA,-62,antarctic,neutral,green algae,40.27249044,9.28E-07,1,0.016666667,0.92753623,-0.9776358,0.92753623,0.32587859,3
2,colesie2018,colesie2018,figure 3,pop,usnea,aurantiaco-atra,23,C,net photosynthesis,-0.8115942,umol CO2 *g^-1 *s^-1,umol_co2,g,sec,0.39130435,SD,3,T,lab,1,week,NA,NA,500,500,umol *m^-2 *s^-1,NA,-62,antarctic,neutral,green algae,39.18459605,-8.12E-07,1,0.016666667,-0.8115942,-3.1054313,0.39130435,1.53354633,3
3,colesie2018,colesie2018,figure 3,pop,placopsis,contortuplicata,5,C,net photosynthesis,1.27536232,umol CO2 *g^-1 *s^-1,umol_co2,g,sec,0.23188406,SD,3,T,lab,1,week,NA,NA,500,500,umol *m^-2 *s^-1,NA,-62,antarctic,neutral,cyanobacteria,41.72035996,1.28E-06,1,0.016666667,1.27536232,-0.8626198,0.23188406,0.23961661,3
3,colesie2018,colesie2018,figure 3,pop,placopsis,contortuplicata,15,C,net photosynthesis,1.56521739,umol CO2 *g^-1 *s^-1,umol_co2,g,sec,0.53623188,SD,3,T,lab,1,week,NA,NA,500,500,umol *m^-2 *s^-1,NA,-62,antarctic,neutral,cyanobacteria,40.27249044,1.57E-06,1,0.016666667,1.56521739,-3.4696486,0.53623188,0.11501597,3
3,colesie2018,colesie2018,figure 3,pop,placopsis,contortuplicata,23,C,net photosynthesis,0.08695652,umol CO2 *g^-1 *s^-1,umol_co2,g,sec,0.66666667,SD,3,T,lab,1,week,NA,NA,500,500,umol *m^-2 *s^-1,NA,-62,antarctic,neutral,cyanobacteria,39.18459605,8.70E-08,1,0.016666667,0.08695652,-4.9265176,0.66666667,0.94888179,3
1,delprado1995,delprado1995,figure 2,pop,teloschistes,lacunosus,0,C,dark respiration,-0.414784394,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,42.4840495,-4.15E-07,1000,0.016666667,3.626283368,-0.414784394,,,
1,delprado1995,delprado1995,figure 2,pop,teloschistes,lacunosus,5,C,dark respiration,-0.661190965,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,41.72035996,-6.61E-07,1000,0.016666667,5.967145791,-0.661190965,,,
1,delprado1995,delprado1995,figure 2,pop,teloschistes,lacunosus,10,C,dark respiration,-1.055441478,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,40.98364161,-1.06E-06,1000,0.016666667,8.406570842,-1.055441478,,,
1,delprado1995,delprado1995,figure 2,pop,teloschistes,lacunosus,15,C,dark respiration,-2.583162218,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,40.27249044,-2.58E-06,1000,0.016666667,10.27926078,-2.583162218,,,
1,delprado1995,delprado1995,figure 2,pop,teloschistes,lacunosus,20,C,dark respiration,-3.618069815,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,39.58559823,-3.62E-06,1000,0.016666667,11.90554415,-3.618069815,,,
1,delprado1995,delprado1995,figure 2,pop,teloschistes,lacunosus,25,C,dark respiration,-4.012320329,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,38.9217445,-4.01E-06,1000,0.016666667,11.80698152,-4.012320329,,,
1,delprado1995,delprado1995,figure 2,pop,teloschistes,lacunosus,30,C,dark respiration,-4.258726899,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,38.27978928,-4.26E-06,1000,0.016666667,8.997946612,-4.258726899,,,
9,delprado1995,delprado1995,figure 2,pop,ramalina,bourgeana,0,C,dark respiration,-0.468781986,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,42.4840495,-4.69E-07,1000,0.016666667,1.668372569,-0.468781986,,,
9,delprado1995,delprado1995,figure 2,pop,ramalina,bourgeana,5,C,dark respiration,-0.714431934,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,41.72035996,-7.14E-07,1000,0.016666667,3.48618219,-0.714431934,,,
9,delprado1995,delprado1995,figure 2,pop,ramalina,bourgeana,10,C,dark respiration,-1.303991812,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,40.98364161,-1.30E-06,1000,0.016666667,8.423746162,-1.303991812,,,
9,delprado1995,delprado1995,figure 2,pop,ramalina,bourgeana,15,C,dark respiration,-2.409416581,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,40.27249044,-2.41E-06,1000,0.016666667,10.11873081,-2.409416581,,,
9,delprado1995,delprado1995,figure 2,pop,ramalina,bourgeana,20,C,dark respiration,-3.785056295,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,39.58559823,-3.79E-06,1000,0.016666667,8.178096213,-3.785056295,,,
9,delprado1995,delprado1995,figure 2,pop,ramalina,bourgeana,25,C,dark respiration,-5.357215967,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,38.9217445,-5.36E-06,1000,0.016666667,5.74616172,-5.357215967,,,
9,delprado1995,delprado1995,figure 2,pop,ramalina,bourgeana,30,C,dark respiration,-7.445240532,umol CO2 *kg dw^-1 *s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,NA,NA,0,0,umol *m^-2 *s^-1,NA,36.834,temperate,neutral,green algae,38.27978928,-7.45E-06,1000,0.016666667,5.279426817,-7.445240532,,,
1,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,0,C,net photosynthesis,1.01048218,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,germany,1200,1200,umol *m^-2 *s^-1,NA,49.58,temperate,neutral,green algae,42.4840495,1.01E-06,1000,0.016666667,1.01048218,-1.06918239,,,
1,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,5,C,net photosynthesis,3.157232704,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,germany,1200,1200,umol *m^-2 *s^-1,NA,49.58,temperate,neutral,green algae,41.72035996,3.16E-06,1000,0.016666667,3.157232704,-1.303983229,,,
1,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,10,C,net photosynthesis,6.27672956,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,germany,1200,1200,umol *m^-2 *s^-1,NA,49.58,temperate,neutral,green algae,40.98364161,6.28E-06,1000,0.016666667,6.27672956,-2.142557652,,,
1,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,15,C,net photosynthesis,5.438155136,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,germany,1200,1200,umol *m^-2 *s^-1,NA,49.58,temperate,neutral,green algae,40.27249044,5.44E-06,1000,0.016666667,5.438155136,-2.142557652,,,
1,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,20,C,net photosynthesis,7.819706499,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,germany,1200,1200,umol *m^-2 *s^-1,NA,49.58,temperate,neutral,green algae,39.58559823,7.82E-06,1000,0.016666667,7.819706499,-3.719077568,,,
1,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,25,C,net photosynthesis,7.215932914,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,germany,1200,1200,umol *m^-2 *s^-1,NA,49.58,temperate,neutral,green algae,38.9217445,7.22E-06,1000,0.016666667,7.215932914,-4.557651992,,,
1,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,30,C,net photosynthesis,2.050314465,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,germany,1200,1200,umol *m^-2 *s^-1,NA,49.58,temperate,neutral,green algae,38.27978928,2.05E-06,1000,0.016666667,2.050314465,-4.859538784,,,
2,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,0,C,net photosynthesis,1.278825996,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,spain,1200,1200,umol *m^-2 *s^-1,NA,41.39,temperate,neutral,green algae,42.4840495,1.28E-06,1000,0.016666667,1.278825996,-0.532494759,,,
2,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,5,C,net photosynthesis,2.519916143,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,spain,1200,1200,umol *m^-2 *s^-1,NA,41.39,temperate,neutral,green algae,41.72035996,2.52E-06,1000,0.016666667,2.519916143,-0.733752621,,,
2,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,10,C,net photosynthesis,5.169811321,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,spain,1200,1200,umol *m^-2 *s^-1,NA,41.39,temperate,neutral,green algae,40.98364161,5.17E-06,1000,0.016666667,5.169811321,-1.236897275,,,
2,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,15,C,net photosynthesis,4.264150943,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,spain,1200,1200,umol *m^-2 *s^-1,NA,41.39,temperate,neutral,green algae,40.27249044,4.26E-06,1000,0.016666667,4.264150943,-1.303983229,,,
2,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,20,C,net photosynthesis,5.102725367,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,spain,1200,1200,umol *m^-2 *s^-1,NA,41.39,temperate,neutral,green algae,39.58559823,5.10E-06,1000,0.016666667,5.102725367,-2.041928721,,,
2,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,25,C,net photosynthesis,3.693920335,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,spain,1200,1200,umol *m^-2 *s^-1,NA,41.39,temperate,neutral,green algae,38.9217445,3.69E-06,1000,0.016666667,3.693920335,-3.115303983,,,
2,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,30,C,net photosynthesis,1.178197065,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,spain,1200,1200,umol *m^-2 *s^-1,NA,41.39,temperate,neutral,green algae,38.27978928,1.18E-06,1000,0.016666667,1.178197065,-3.719077568,,,
3,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,0,C,net photosynthesis,0.13836478,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,antarctica,1200,1200,umol *m^-2 *s^-1,NA,-62.24,subantarctic,neutral,green algae,42.4840495,1.38E-07,1000,0.016666667,0.13836478,-0.63312369,,,
3,domaschke2013,domaschke2013,figure 1,pop,Cetraria,aculeata,5,C,net photosynthesis,0.373165618,umol CO2 * kg^-1 * dry weight s^-1,umol_co2,kg,sec,NA,NA,NA,T,lab,NA,NA,location,antarctica,1200,1200,umol *m^-2 *s^-1,NA,-62.24,subantarctic,neutral,green algae,41.72035996,3.73E-07,1000,0.016666667,0.373165618,-0.800838574,,,
