genus,species,n
Cetraria,aculeata,56
Parmotrema,endosulphureum,18
alectoria,ochroleuca,13
alectoria,sarmentosa,37
alectorina,nigricans,26
bryoria,spp,38
buellia,frigida,37
cetraria,islandica,35
cetraria,nivalis,30
cetrariella,delisei,10
cladonia,caroliniana,18
cladonia,ecmocyna,30
cladonia,mitis,72
cladonia,portentosa,65
cladonia,rangiferina,174
cladonia,scholanderi,31
cladonia,stellaris,61
cladonia,subtenuis,28
cladonia,sylvatica,20
cladonia,uncialis,72
dactylina,arctica,25
flavocetraria,nivalis,8
lasallia,hispanica,16
lasallia,pustulata,15
lasallia,spodochroa,15
lecanora,muralis,106
leptogium,phyllocarpum,45
lobaria,pulmonaria,15
lobaria,scrobiculata,27
parmelia,nigrociliata,31
parmelia,olivacea,16
parmeliopsis,ambigua,14
peltigera,apthosa,15
peltigera,canina var. praetextata,39
peltigera,polydactyla,24
peltigera,rufescens,67
peltigera,subamerican,30
placopsis,contortuplicata,6
platismatia,glauca,8
pseudocyphellaria,aurata,66
ramalina,bourgeana,56
ramalina,dendrescoides,19
ramalina,leptosperma,16
ramalina,maciformis,7
ramalina,terebrata,4
solorina,crocea,22
stereocaulon,alpinum,6
sticta,lacinata,29
sticta,tomentosa,28
sticta,weigelii,30
teloschistes,flavicans,16
teloschistes,lacunosus,56
thamnolia,vermicularis,1
turgidiusculum,complicatulum,101
umbilicaria,antarctica,11
umbilicaria,aprina,44
umbilicaria,cinereorufescens,16
umbilicaria,decussata,26
umbilicaria,deusta,12
umbilicaria,freyi,36
umbilicaria,grisea,52
umbilicaria,havaasii,14
umbilicaria,mammulata,12
umbilicaria,muhlenbergii,12
umbilicaria,papulosa,12
umbilicaria,subglabra,17
umbilicaria,vellea,12
usnea,antarctica,1
usnea,aurantiaco-atra,14
usnea,sphacelata,8
usnea,sulphurea,40
verrucaria,baldensis,163
xanthoria,elegans,14
