location,experiment,treatment,average_pH_nbs,average_pH_total,prod-ug_day_mm2,salinity,temp,Maximum_PAR,Daily_light_sum,pCO2,HCO3_umol,CO2_umol
PNG,MilneBay1_1,control,8.18,8.03,2.358169363,35.1,27.8,291,4.99,400,1736.6,10.6
PNG,MilneBay1_1,control,8.18,8.03,1.819606555,35.1,27.8,291,4.99,400,1736.6,10.6
PNG,MilneBay1_1,control,8.18,8.03,2.318404919,35.1,27.8,291,4.99,400,1736.6,10.6
PNG,MilneBay1_1,control,8.18,8.03,1.309949571,35.1,27.8,291,4.99,400,1736.6,10.6
PNG,MilneBay1_1,control,8.18,8.03,1.46983921,35.1,27.8,291,4.99,400,1736.6,10.6
PNG,MilneBay1_1,control,8.18,8.03,1.645501647,35.1,27.8,291,4.99,400,1736.6,10.6
PNG,MilneBay1_1,control,8.18,8.03,1.043105492,35.1,27.8,291,4.99,400,1736.6,10.6
PNG,MilneBay1_1,control,8.18,8.03,1.232995645,35.1,27.8,291,4.99,400,1736.6,10.6
PNG,MilneBay1_1,control,8.18,8.03,1.303726977,35.1,27.8,291,4.99,400,1736.6,10.6
PNG,MilneBay1_1,impact,8.14,7.99,1.522727377,35.1,27.8,291,4.99,454,1786.1,12
PNG,MilneBay1_1,impact,8.14,7.99,1.853688905,35.1,27.8,291,4.99,454,1786.1,12
PNG,MilneBay1_1,impact,8.14,7.99,2.048299492,35.1,27.8,291,4.99,454,1786.1,12
PNG,MilneBay1_1,impact,8.14,7.99,1.998711203,35.1,27.8,291,4.99,454,1786.1,12
PNG,MilneBay1_1,impact,8.14,7.99,1.842968623,35.1,27.8,291,4.99,454,1786.1,12
PNG,MilneBay1_1,impact,8.14,7.99,1.242231398,35.1,27.8,291,4.99,454,1786.1,12
PNG,MilneBay1_1,impact,8.14,7.99,1.052856257,35.1,27.8,291,4.99,454,1786.1,12
PNG,MilneBay1_1,impact,8.14,7.99,1.425047424,35.1,27.8,291,4.99,454,1786.1,12
PNG,MilneBay1_1,impact,8.14,7.99,0.72765902,35.1,27.8,291,4.99,454,1786.1,12
PNG,MilneBay1_2,control,8.18,8.03,1.409026961,34.8,27.8,257,4.09,394,1727.8,10.4
PNG,MilneBay1_2,control,8.18,8.03,0.608744114,34.8,27.8,257,4.09,394,1727.8,10.4
PNG,MilneBay1_2,control,8.18,8.03,0.760930142,34.8,27.8,257,4.09,394,1727.8,10.4
PNG,MilneBay1_2,control,8.18,8.03,1.624667285,34.8,27.8,257,4.09,394,1727.8,10.4
PNG,MilneBay1_2,control,8.18,8.03,1.968714474,34.8,27.8,257,4.09,394,1727.8,10.4
PNG,MilneBay1_2,control,8.18,8.03,1.701780469,34.8,27.8,257,4.09,394,1727.8,10.4
PNG,MilneBay1_2,control,8.18,8.03,1.395302492,34.8,27.8,257,4.09,394,1727.8,10.4
PNG,MilneBay1_2,control,8.18,8.03,0.553716126,34.8,27.8,257,4.09,394,1727.8,10.4
PNG,MilneBay1_2,control,8.18,8.03,1.107182474,34.8,27.8,257,4.09,394,1727.8,10.4
PNG,MilneBay1_2,impact,8.16,8.01,0.766894725,34.7,27.8,257,4.09,420,1696.6,11.1
PNG,MilneBay1_2,impact,8.16,8.01,1.071418196,34.7,27.8,257,4.09,420,1696.6,11.1
PNG,MilneBay1_2,impact,8.16,8.01,0.531207341,34.7,27.8,257,4.09,420,1696.6,11.1
PNG,MilneBay1_2,impact,8.16,8.01,1.687189253,34.7,27.8,257,4.09,420,1696.6,11.1
PNG,MilneBay1_2,impact,8.16,8.01,2.019528854,34.7,27.8,257,4.09,420,1696.6,11.1
PNG,MilneBay1_2,impact,8.16,8.01,1.130973015,34.7,27.8,257,4.09,420,1696.6,11.1
PNG,MilneBay1_2,impact,8.16,8.01,1.024014693,34.7,27.8,257,4.09,420,1696.6,11.1
PNG,MilneBay1_2,impact,8.16,8.01,0.668258283,34.7,27.8,257,4.09,420,1696.6,11.1
PNG,MilneBay2_1,control,8.23,8.08,-0.065947279,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,control,8.23,8.08,-0.942658164,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,control,8.23,8.08,-0.398627384,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,control,8.23,8.08,-0.25159883,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,control,8.23,8.08,-0.786889787,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,control,8.23,8.08,-0.165320356,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,control,8.23,8.08,-0.30890785,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,control,8.23,8.08,-0.11327214,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,control,8.23,8.08,-1.340282519,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,control,8.23,8.08,-1.087915524,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,control,8.23,8.08,-1.501539491,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,control,8.23,8.08,0.17565523,33.4,29.9,423,6.64,496,1760.1,12.6
PNG,MilneBay2_1,impact,7.69,7.55,1.418144919,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_1,impact,7.69,7.55,-0.28548792,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_1,impact,7.69,7.55,0.364495231,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_1,impact,7.69,7.55,-0.315358612,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_1,impact,7.69,7.55,0.622433144,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_1,impact,7.69,7.55,0.036367985,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_1,impact,7.69,7.55,-0.463221882,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_1,impact,7.69,7.55,0.173758149,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_1,impact,7.69,7.55,0.044514413,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_1,impact,7.69,7.55,1.118938628,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_1,impact,7.69,7.55,0.06257974,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_1,impact,7.69,7.55,0.675348298,33.2,29.9,423,6.64,1786,2126.3,45.3
PNG,MilneBay2_2,control,8.25,8.1,0.877786321,35.7,29.5,365,5.23,417,1699.4,10.6
PNG,MilneBay2_2,control,8.25,8.1,0.7589535,35.7,29.5,365,5.23,417,1699.4,10.6
PNG,MilneBay2_2,control,8.25,8.1,0.317314606,35.7,29.5,365,5.23,417,1699.4,10.6
PNG,MilneBay2_2,control,8.25,8.1,0.417123224,35.7,29.5,365,5.23,417,1699.4,10.6
