label,type,author,title,journal,year,volume,number,pages,month,abstract,doi,issn,eissn,unique_id,researcherid_numbers,orcid_numbers,note,article_number,organization,book_group_author,booktitle,series,isbn,screened_abstracts,comments,downloaded,extractable?,potential_figures,extracted,extraction_notes
X.WOS.000179035500004,article,"Palmqvist, K and Dahlman, L and Valladares, F and Tehler, A and Sancho, LG and Mattsson, JE",CO2 exchange and thallus nitrogen across 75 contrasting lichen associations from different climate zones,OECOLOGIA,2002,133,3,295-306,NOV,"Aiming to investigate whether a carbon-to-nitrogen equilibrium model describes resource allocation in lichens, net photosynthesis (NP), respiration (R), concentrations of nitrogen (N), chlorophyll (Chl), chitin and ergosterol were investigated in 75 different lichen associations collected in Antarctica, Arctic Canada, boreal Sweden, and temperate/subtropical forests of Tenerife, South Africa and Japan. The lichens had various morphologies and represented seven photobiont and 41 mycobiont genera. Chl a, chitin and ergosterol were used as indirect markers of photobiont activity, fungal biomass and fungal respiration, respectively. The lichens were divided into three groups according to photobiont: (1) species with green algae, (2) species with cyanobacteria, and (3) tripartite species with green algal photobionts and cyanobacteria in cephalodia. Across species, thallus N concentration ranged from 1 to 50 mg g(-1) dry wt., NP varied 50-fold, and R 10-fold. In average, green algal lichens had the lowest, cyanobacterial Nostoc lichens the highest and tripartite lichens intermediate N concentrations. All three markers increased with thallus N concentration, and lichens with the highest Chl a and N concentrations had the highest rates of both P and R. Chl a alone accounted for ca. 30\% of variation in NP and R across species. On average, the photosynthetic efficiency quotient {[}K-F=(NPmax+R)/R)] ranged from 2.4 to 8.6, being higher in fruticose green algal lichens than in foliose Nostoc lichens. The former group invested more N in Chl a and this trait increased NPmax while decreasing R. In general terms, the investigated lichens invested N resources such that their maximal C input capacity matched their respiratory C demand around a similar (positive) equilibrium across species. However, it is not clear how this apparent optimisation of resource use is regulated in these symbiotic organisms.",10.1007/s00442-002-1019-0,0029-8549,1432-1939,WOS:000179035500004,"SANCHO, LEOPOLDO G/G-9120-2015 Valladares, Fernando/K-9406-2014 Palmqvist, Kristin/D-5589-2016 Sancho, leopoldo G./H-2974-2013 ","SANCHO, LEOPOLDO G/0000-0002-4751-7475 Valladares, Fernando/0000-0002-5374-4682 Palmqvist, Kristin/0000-0002-3923-1338 Mattsson, Jan-Eric/0000-0002-2737-5502",NA,NA,NA,NA,NA,NA,NA,selected,likely not relevant,y,y?,maybe figure 2+3 -- but the x axis doesn�t make a ton of sense,,
X.WOS.000225472100002,article,"Lange, OL and Green, TGA",Lichens show that fungi can acclimate their respiration to seasonal changes in temperature,OECOLOGIA,2005,142,1,19-Nov,JAN,"Five species of lichens, the majority members of a soil-crust community (Cladonia convoluta, Diploschistes muscorum, Fulgensia fulgens, Lecanora muralis, Squamarina lentigera) showed seasonal changes of temperature sensitivity of their dark respiration (DR) to such an extent that several substantially met the definition of full acclimation, i.e. near identical DR under different nocturnal temperature conditions during the course of the year. C. convoluta, for example, had maximal DR at 5 degreesC of - 0.42, - 1.11 and - 0.09 nmol CO2 g(-1) s(-1) in autumn, winter, and summer, respectively, a tenfold range. However, at the mean night temperatures for the same three seasons, 9.7 degreesC, 4.2 degreesC and 13.6 degreesC, maximal DR were almost identical at - 1.11, - 0.93, and - 1.45 nmol CO2 g(-1) s(-1). The information was extracted from measurements using automatic cuvettes that continuously recorded a sample lichen's gas exchange every 30 min under near-natural conditions. The longest period ( for L. muralis) covered 15 months and 22,000 data sets whilst, for the other species studied, data blocks were available throughout the calendar year. The acclimation of DR means that maximal net carbon fixation rates remain substantially similar throughout the year and are not depressed by increased carbon loss by respiration in warmer seasons. This is especially important for lichens because of their normally high rate of DR compared to net photosynthesis. We suggest that lichens, especially soil-crust species, could be a suitable model for fungi generally, a group of organisms for which little is known about temperature acclimation because of the great difficulty in separating the organism from its growth medium. Fungi, whether saprophytic, symbiotic or parasitic, including soil lichens, are important components of soil ecosystems and contribute much of the respired CO2 from these systems. Temperature acclimation by fungi would mean that expected increases in carbon losses caused by global climate warming from soil ecosystems might not be as extensive as first thought. This would ameliorate this positive feedback loop present in some climate models and might substantially lower the predicted warming.",10.1007/s00442-004-1697-x,0029-8549,1432-1939,WOS:000225472100002,NA,NA,NA,NA,NA,NA,NA,NA,NA,selected,seems maybe relevant?,y,y,figure 2,y,"tons of natural datapoints, maybe go back and extract from fig3,4,5 if natural conditions are relevant?"
X.WOS.000483777500004,article,"Shelyakin, M. A. and Andreev, M. P. and Tabalenkova, G. N. and Golovko, T. K.",Respiratory Activity of Some Lichen Species-Representatives of Antarctic Flora,CONTEMPORARY PROBLEMS OF ECOLOGY,2019,12,4,332-338,JUL,"Data on the respiratory activity of 12 species of Antarctic lichens are presented. It is found that the respiration of foliose lichens is more intensive than the respiration of fruticose lichens. The O-2 uptake rate correlates positively with the nitrogen content in the biomass of thalli and depends on temperature. The thalli O-2 uptake rate increased 2.2-2.4 times with a temperature increase from 5 to 15 degrees C. The reaction of respiration upon a further rise in temperature is species-specific. The decrease in the temperature coefficient of respiration (Q(10)) with a temperature increase to 35 degrees C is most pronounced in the endemic species Usnea aurantiaco-atra, which is well-adapted to Antarctic conditions. The calculations show that, in summer, lichens are able to lose an amount of substrate equivalent to 0.8-1.4\% of the thallus dry biomass in respiration daily. The total respiration cost of the lichen maintenance under snow during the winter can reach of 30-35\% from their biomass. These results extend our knowledge on Antarctic lichens, and prediction their response to climatic change.",10.1134/S1995425519040115,1995-4255,1995-4263,WOS:000483777500004,"Shelyakin, Mikhail A/Q-2340-2015 Andreev, Mikhail P./U-9847-2017",NA,NA,NA,NA,NA,NA,NA,NA,selected,maybe relevant?,y,y,figure 3,y,
X.WOS.000578465700001,article,"Shelyakin, Mikhail and Zakhozhiy, Ilya and Golovko, Tamara",The effect of temperature on Antarctic lichen cytochrome and alternative respiratory pathway rates,POLAR BIOLOGY,2020,43,12,2003-2010,DEC,"Respiration is a crucial process that provides all living organisms with energy and metabolites for growth and cellular maintenance. The processes that control respiration in lichens remain poorly understood. We investigated the effects of short-term temperature changes on the respiration rate, as well as the relative contributions of the cytochrome and alternative pathways of thalli from four green-algal lichen species collected from their natural habitats in Antarctica. Lichen respiration was sensitive to short-term temperature increases over a range of 5-35 degrees C. The total O(2)uptake rate was increased by fourfold, and the mean respiratory coefficient (Q(10)) decreased from 2.5 to 1.3 as the temperature increased. An increase in temperature from 5 to 15 degrees C had a positive effect on cytochrome respiration coupled with energy production. Temperatures above 15 degrees C stimulated the activation of the alternative (energy-dissipating) respiratory pathway. Hyperthermia led to increased O(2)consumption that was not associated with mitochondrial oxidases. The effects of increased temperature on the respiration rates were more pronounced in the bipolar lichensUmbilicaria decussataandUsnea sphacelatathan in theUsnea aurantiaco-atraspecies with a narrower geographical distribution.",10.1007/s00300-020-02758-4 Early Access Date = {{OCT 2020,0722-4060,1432-2056,WOS:000578465700001,"Zakhozhiy, Ilya/AAR-2049-2021 Shelyakin, Mikhail A/Q-2340-2015","Zakhozhiy, Ilya/0000-0003-0918-745X ",NA,NA,NA,NA,NA,NA,NA,selected,maybe relevant,y,y,figure 1,y,"only extracted total respiration, not the different pathways, could go back to extract different pathways?"
X.WOS.000425396700022,article,"Colesie, Claudia and Buedel, Burkhard and Hurry, Vaughan and Green, Thomas George Allan",Can Antarctic lichens acclimatize to changes in temperature?,GLOBAL CHANGE BIOLOGY,2018,24,3,1123-1135,MAR,"The Antarctic Peninsula, a tundra biome dominated by lichens and bryophytes, is an ecozone undergoing rapid temperature shifts. Such changes may demand a high physiological plasticity of the local lichen species to maintain their role as key drivers in this pristine habitat. This study examines the response of net photosynthesis and respiration to increasing temperatures for three Antarctic lichen species with different ecological response amplitudes. We hypothesize that negative effects caused by increased temperatures can be mitigated by thermal acclimation of respiration and/or photosynthesis. The fully controlled growth chamber experiment simulated intermediate and extreme temperature increases over the time course of 6 weeks. Results showed that, in contrast to our hypothesis, none of the species was able to down-regulate temperature-driven respiratory losses through thermal acclimation of respiration. Instead, severe effects on photobiont vitality demonstrated that temperatures around 15 degrees C mark the upper limit for the two species restricted to the Antarctic, and when mycobiont demands exceeded the photobiont capacity they could not survive within the lichen thallus. In contrast, the widespread lichen species was able to recover its homoeostasis by rapidly increasing net photosynthesis. We conclude that to understand the complete lichen response, acclimation processes of both symbionts, the photo- and the mycobiont, have to be evaluated separately. As a result, we postulate that any acclimation processes in lichen are species-specific. This, together with the high degree of response variability and sensitivity to temperature in different species that co-occur spatially close, complicates any predictions regarding future community composition in the Antarctic. Nevertheless, our results suggest that species with a broad ecological amplitude may be favoured with on-going changes in temperature.",10.1111/gcb.13984,1354-1013,1365-2486,WOS:000425396700022,"Colesie, Claudia/H-4258-2015 ","Colesie, Claudia/0000-0003-1136-0290 Hurry, Vaughan/0000-0001-5151-5184",NA,NA,NA,NA,NA,NA,NA,selected,maybe relevant,y,y,figure 3 ,y,only extracted at the 1 week time point
X.WOS.000079421300015,article,"Sundberg, B and Ekblad, A and Nasholm, T and Palmqvist, K","Lichen respiration in relation to active time, temperature, nitrogen and ergosterol concentrations",FUNCTIONAL ECOLOGY,1999,13,1,119-125,FEB,"1. Respiration in eight lichen species was related to thallus hydration status, external temperature and to total nitrogen, chitin and ergosterol concentrations. Chitin is a nitrogenous and major compound of the fungal cell wall, and ergosterol is a sterol of the plasma membrane in fungi and sometimes in algae. 2. Hydration of previously dry thalli resulted in an initially high rate of respiration. Both the amplitude of this resaturation respiration and the time required to reach steady state varied among species. Generally, peak rates were one to three times higher than steady-state rates, which were reached 3-7 h after hydration, 3. Increases in external temperature also resulted in transient bursts in respiration. Again, both the amplitude of the burst and the time required to reach steady state varied among species. Also depending on species, a temperature increase from 5 to 15 degrees C resulted in two- to fivefold increases in steady-state respiration. 4. Steady-state respiration, at optimal thallus hydration and a given temperature, varied three- to sixfold among the species, when related to thallus dry mass. This difference correlated best (r(2) = 0.89) with their ergosterol concentration, where a doubling in ergosterol resulted in more than a doubling in respiration. Respiration correlated less well to total nitrogen or chitin. 5. The chitin to ergosterol ratio varied more than one order of magnitude between the species, where species with high nitrogen concentrations had the highest ratio. This implies that species with access to ample amounts of nitrogen can make more fungal cell walls in relation to plasma membrane surface area.",10.1046/j.1365-2435.1999.00295.x,0269-8463,NA,WOS:000079421300015,"Ekblad, Alf/AAG-2632-2019 Palmqvist, Kristin/D-5589-2016 ","Palmqvist, Kristin/0000-0002-3923-1338 Nasholm, Torgny/0000-0002-2275-2030",NA,NA,NA,NA,NA,NA,NA,selected,maybe relevant?,y,y,figure 2,?,unclear about this experimental design + ramping?
X.WOS.A1995TD08900014,article,"SCHROETER, B and SCHEIDEGGER, C",WATER RELATIONS IN LICHENS AT SUBZERO TEMPERATURES - STRUCTURAL-CHANGES AND CARBON-DIOXIDE EXCHANGE IN THE LICHEN UMBILICARIA-APRINA FROM CONTINENTAL ANTARCTICA,NEW PHYTOLOGIST,1995,131,2,273-285,OCT,"Photosynthetic activity and structural changes at subzero temperatures were monitored in the foliose lichen Umbilicaria aprina Nyl. from continental Antarctica. Carbon dioxide gas exchange measurements revealed that net photosynthesis and dark respiration occurred at subzero temperatures regardless of whether a lichen thallus saturated with liquid water was exposed to subzero temperatures, or if a dry thallus was re-hydrated only from snow at subzero temperatures. When water-saturated thalli of U. aprina were slowly cooled at subzero temperatures ice nucleation activity could be detected at -5.4 degrees C, indicating extracellular freezing of water. Using low-temperature scanning electron microscopy (LTSEM) it was demonstrated that extracellular ice formation leads to cytorrhysis in the photobiont cells and to cavitation in the mycobiont cells. Both processes were reversible if the lichen thallus was re-warmed. When dry lichen thalli were covered with snow at subzero temperatures a substantial re-hydration from snow could be observed in LTSEM micrographs and measured gravimetrically. The final thallus water content was strongly dependent on the temperature regime and gave water contents between 20\% d. wt at -21 degrees C and 56\% d. wt at -4.5 degrees C after 16 h exposure. Carbon dioxide gas exchange measurements revealed that metabolic activity was initiated during re-hydration from snow at subzero temperatures. It is proposed that water uptake from snow at subzero temperatures occurs in the gaseous phase and depends only on the temperature-related differences in water potential between the cell contents and the surrounding atmosphere in equilibrium with snow. Photosynthetic activity and re-hydration from snow at subzero temperatures are of great ecological importance for primary production in extreme environments such as Antarctica where metabolic activity is severely limited by water availability and low temperatures.",10.1111/j.1469-8137.1995.tb05729.x,0028-646X,NA,WOS:A1995TD08900014,"Scheidegger, Christoph/C-6547-2011","Scheidegger, Christoph/0000-0003-3713-5331",NA,NA,NA,NA,NA,NA,NA,selected,,y,y,figure 1,y,no error reported 
X.WOS.000166890800014,article,"Smith, VR and Gremmen, NJM",Photosynthesis in a sub-Antarctic shore-zone lichen,NEW PHYTOLOGIST,2001,149,2,291-299,FEB,"Photosynthetic responses to moisture, light, temperature, salinity and inorganic nitrogen fertilization are reported for a shore-zone lichen Turgidiusculum complicatulum (formerly Mastodia tesselata), a possible recent introduction to sub-Antarctic Marion Island. Optimum moisture contents for net photosynthesis were 225-346\% lash free, dry mass). Net CO2 exchange was dominated by a strong temperature dependence of respiration rate. Net photosynthetic rate responded sharply to increasing PPFD and saturated below 300 mu mol m(-2) s(-1), but electron transport rate (ETR) increased up to approx. 900 mu mol m(-2) s(-1) PPFD suggesting that gross photosynthesis responded to light to this level. Nonphotochemical fluorescence quenching increased rapidly with PPFD up to approx. 400 mu mol m(-2) s(-1) and thereafter more slowly. Even at high PPFD (1050 mu mol m(-2) s(-1)) most PSII centres were open. Salinity did not significantly influence CO2 assimilation rate; however, NH4NO3 significantly depressed net photosynthesis rate at all salinities except 100\% seawater. ETR and dark respiration rate were increased by NH4NO3. The response of T. complicatulum to light and temperature enables high rates of CO2 assimilation under the island's microclimatic regime; if sufficiently hydrated, the lichen would exhibit near maximal photosynthesis rates for approx. 75\% of the photoperiod over the year.",10.1046/j.1469-8137.2001.00025.x,0028-646X,1469-8137,WOS:000166890800014,NA,NA,NA,NA,NA,NA,NA,NA,NA,selected,maybe relevent,y,y,"figure 1, 2, 3",y,only extracted from figure 3
X.WOS.000177279300001,article,"Lange, OL","Photosynthetic productivity of the epilithic lichen Lecanora muralis: Long-term field monitoring of CO2 exchange and its physiological interpretation - I. Dependence of photosynthesis on water content, light, temperature, and CO2 concentration from laboratory measurements",FLORA,2002,197,4,233-249,NA,"CO2 exchange of the epilithic, green algal lichen Lecanora muralis was monitored continuously for 15 months by means of an automatic cuvette in its natural habitat in the Botanical Garden, Wurzburg (Bavaria, Germany). As a first stage in the interpretation of the results, identically treated parallel samples were used, under controlled laboratory conditions, to determine the dependence of net photosynthesis (NP) and dark respiration (DR) on light, CO2 concentration, thallus hydration and temperature. Results of these measurements are communicated in the present, first part of a series of publications. The lichen showed an extremely large and extended suprasaturation depression of its CO2 assimilation. NP at high hydration was reduced almost to the compensation point. Maximal NP was only possible in a very small window of thallus water content (WC). Thallus water relations dominated the lichen's responses to the other environmental factors and the combination of `optimal' moisture and light conditions was a rare event and lasted only for short times under natural conditions. Light response curves showed typical saturation kinetics with `sun-plant' characteristics. Maximal NP, light saturation, maximal quantum use efficiency, and light compensation point were highly dependent on WC. Temperature optimum of NP was about 22 degreesC. But, at 2 degreesC, NP was still 60\% of maximal NP. Under optimal WC, NP became saturated at c 1000 ppm external CO2 and, at natural, ambient CO2, NP was 62\% of maximal NP with a CO2 compensation point of 16 ppm. Suprasaturation depression of NP was not completely removed by 5000 ppm external CO2, Seasonal changes in photosynthetic capacity and other photosynthetic parameters were extremely small. However, dark respiratory capacity showed a clear adaptation to low winter temperatures. This resulted in a higher light compensation point for CO2 exchange in winter than in summer. The daily and seasonal courses of CO2 exchange of L. muralis under natural conditions will be reported in further communications. The field performance of the lichen will be interpreted and analysed by means of the data presented here.",10.1078/0367-2530-00038,0367-2530,1618-0585,WOS:000177279300001,NA,NA,NA,NA,NA,NA,NA,NA,NA,selected,,y,y,"figure 10, 11, 12",y,"only extracted figure 10, excluded the theoretical gross photosynthesis values"
X.WOS.000085575100006,article,"Del-Prado, R and Sancho, LG",Water relations and photosynthetic performance of fruticose Lichens from the semiarid Southeast of Spain,FLORA,2000,195,1,51-60,JAN,"The lichen species Teloschistes lacunosus (RUPR.) SAV, and Ramalina bourgeana NYL. are characteristic of the semiarid southeast Iberian Peninsula. These species showing different distribution patterns and ecological requirements, were collected at the coast (R. bourgeana) and in the inland (T. lacunosus). Laboratory experiments revealed that net photosynthesis (NP) and dark respiration (DR) responses to temperature differed between both species. Optimal temperatures of NP were higher in T. lacunosus than in R. bourgeana at optimal thallus water content at the various photosynthetic photon flux density (PPFD) levels. In the upper temperature range studied (20-25 degrees C), R. bourgeana proved to be less efficient than T. lacunosus. In both species, lower and upper temperature compensation points were below 0 degrees C and above 30 degrees C, for moderate and high PPFD levels, respectively. At high temperatures and high thallus water content, T. lacunosus showed lower DR rates than R. bourgeana. NP response to PPFD also showed differences between both species. The light compensation points were high in both species for temperatures above 20 degrees C (at 20 degrees C around 50 mu mol m(-2)s(-1) in T. lacunosus, and around 60 mu mol m(-2)s(-1) in R. bourgeana). Light saturation of NP was higher in T. lacunosus at all temperatures in the experiments. In T. lacunosus, the value was below 1200 mu mol m(-2)s(-1) at 0-15 degrees C, but at temperatures above 15 degrees C, it was above 1200 mu mol m(-2)s(-1). In R. bourgeana the values were always below 1200 mu mol m(-2)s(-1). In both species, NP was strongly depressed at supraoptimal water content. The physiological differences observed between R. bourgeana and T. lacunosus, and their relation to the distribution patterns of these lichens are discussed.",NA,0367-2530,1618-0585,WOS:000085575100006,"Sancho, leopoldo G./H-2974-2013 SANCHO, LEOPOLDO G/G-9120-2015 ","SANCHO, LEOPOLDO G/0000-0002-4751-7475 DEL PRADO, RUTH/0000-0002-7497-2510",NA,NA,NA,NA,NA,NA,NA,selected,,y,y,figure 2,y,extracted the respiration across a range of temperatures at 200 ppfd (this seemed like a moderate level based on some preliminary googling)
