study_id,units,corrected,sample_wt,lichen_type,notes,duration
aubert_2007,nmol *min^-1 *g^-1 dry wt,mass,0.5 g dry,foliaceous lichen ,,unknown
colesie_2018,umol CO2 *g^-1 *s^-1,mass,unclear ,"primary algal photobiont, seconary cyanobiant in 2 species",,7 days 
delprado_1995,umol CO2 * kg dw^-1 *s^-1,mass,unclear ,fruticose lichen,,unknown
domaschke_2013,umol CO2 * kg dw^-1 *s^-1,mass,unclear ,photobionts,table 2 does have photobiont cells per mg dry wt which is interesting,3 days
insarov_1995,mg CO2 * g dw^-1 * hr^-1,mass,unclear ,"epithilic, epigal, epiphytic licgen ","this is a whole bunch of species from different studies, so size standardization might be hard",various
lange_2000,nmol CO2 *g^-1 *s^-1,mass,table 1,cyanbiont,table 1 have thallus specific mass ,14 days
lange_2004,nmol CO2 *g^-1 *s^-1,mass,area corrected,"chloro, cyanolichen","table 1 has mg chlorophyll, carbonm, and nitrogen in the dry weight; area of thallus in methods, not weight",15 days 
reiter_200,umol CO2 *kg^-1 *s^-1,mass,unclear ,fruticose terricolous macrolichens,,unknown
sancho_1997,umol CO2 *kg^-1 *s^-1,mass,4-8 thalli (0.6-1.1 g dry wt) in one cuvette,?,4-8 thalli in one cuvette,unknown
scholander_1952,mm^3 O2 *g^-1 *hr,mass,unclear ,various,,1 day
schroeter_1995,umol CO2 *kg^-1 *s^-1,mass,unclear ,?,,unknown
shelyakin_2019,nmol O2 * g dry wt^-1 * min^-1,mass,15-20 mg,"photobiont, cyanobiont",,unknown
shelyakin_2020,nmol O2 * g dry wt^-1 * min^-1,mass,15-20 mg,epilithic ,,unknown
smith_2000,umol CO2 *g^-1 *s^-1,mass,unclear ,unclear,,1 day
uchida_2006,mg CO2-C * g dry wt^-1 *hr^-1,mass,unclear ,photobionts,,unknown
zotz_2003,nmol CO2 *g^-1 *s^-1,mass,unclear ,foliaceous lichen ,,1 day
