tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id
1_zotz2003,green algae,neutral,9,endosulphureum,7.35638298e-7,40.9836416088657,10,gpp,zotz2003
1_zotz2003,green algae,neutral,9,endosulphureum,9.590425536e-7,40.27249044438772,15,gpp,zotz2003
1_zotz2003,green algae,neutral,9,endosulphureum,1.5510638280000001e-6,39.58559823145258,20,gpp,zotz2003
1_zotz2003,green algae,neutral,9,endosulphureum,1.4952127680000003e-6,38.92174449622782,25,gpp,zotz2003
1_zotz2003,green algae,neutral,9,endosulphureum,1.316489364e-6,38.27978928434875,30,gpp,zotz2003
1_zotz2003,green algae,neutral,9,endosulphureum,1.0707446808e-6,37.65866662842876,35,gpp,zotz2003
3_lange2002_flora_i,green algae,neutral,49.9174,muralis,0.0103978490516129,42.17524303670842,2,gpp,lange2002_flora_i
3_lange2002_flora_i,green algae,neutral,49.9174,muralis,0.01456933339548387,41.42251694288889,7,gpp,lange2002_flora_i
3_lange2002_flora_i,green algae,neutral,49.9174,muralis,0.013097104529032257,41.42251694288889,7,gpp,lange2002_flora_i
3_lange2002_flora_i,green algae,neutral,49.9174,muralis,0.01726833504,40.696188397511214,12,gpp,lange2002_flora_i
3_lange2002_flora_i,green algae,neutral,49.9174,muralis,0.016354664729032256,40.696188397511214,12,gpp,lange2002_flora_i
3_lange2002_flora_i,green algae,neutral,49.9174,muralis,0.018850600321935484,39.99489271601007,17,gpp,lange2002_flora_i
3_lange2002_flora_i,green algae,neutral,49.9174,muralis,0.018495234733548388,39.99489271601007,17,gpp,lange2002_flora_i
3_lange2002_flora_i,green algae,neutral,49.9174,muralis,0.018190635658064516,39.99489271601007,17,gpp,lange2002_flora_i
3_lange2002_flora_i,green algae,neutral,49.9174,muralis,0.019671367916129032,39.31735768778696,22,gpp,lange2002_flora_i
3_lange2002_flora_i,green algae,neutral,49.9174,muralis,0.019070673154838704,38.66239587389746,27,gpp,lange2002_flora_i
2_green1998,green algae,neutral,-77.01,aprina,0.030734316735483866,42.4840495022893,0,gpp,green1998
2_green1998,green algae,neutral,-77.01,aprina,0.04318366023870967,41.720359955241136,5,gpp,green1998
2_green1998,green algae,neutral,-77.01,aprina,0.05952342356129031,40.9836416088657,10,gpp,green1998
2_green1998,green algae,neutral,-77.01,aprina,0.058745339593548385,40.27249044438772,15,gpp,green1998
2_green1998,green algae,neutral,-77.01,aprina,0.055243961748387096,39.58559823145258,20,gpp,green1998
1_aubert_2007,green algae,high,44.6008723,elegans,8.211032774000001e-7,42.17524303670842,2,npp,aubert_2007
1_aubert_2007,green algae,high,44.6008723,elegans,1.2873105782000001e-6,41.720359955241136,5,npp,aubert_2007
1_aubert_2007,green algae,high,44.6008723,elegans,1.5652415334000001e-6,40.9836416088657,10,npp,aubert_2007
1_aubert_2007,green algae,high,44.6008723,elegans,1.3591850368000001e-6,40.27249044438772,15,npp,aubert_2007
1_aubert_2007,green algae,high,44.6008723,elegans,9.999293626e-7,39.58559823145258,20,npp,aubert_2007
1_aubert_2007,green algae,high,44.6008723,elegans,4.6658314560000004e-7,38.92174449622782,25,npp,aubert_2007
1_aubert_2007,green algae,high,44.6008723,elegans,-1.2945382576e-7,38.27978928434875,30,npp,aubert_2007
1_colesie2018,cyanobacteria,neutral,-62,alpinum,2.295652176e-4,41.720359955241136,5,npp,colesie2018
1_colesie2018,cyanobacteria,neutral,-62,alpinum,2.573913048e-4,40.27249044438772,15,npp,colesie2018
1_colesie2018,cyanobacteria,neutral,-62,alpinum,2.295652176e-4,39.18459605453426,23,npp,colesie2018
2_colesie2018,green algae,neutral,-62,aurantiaco-atra,9.043478279999999e-5,41.720359955241136,5,npp,colesie2018
2_colesie2018,green algae,neutral,-62,aurantiaco-atra,1.1130434759999999e-4,40.27249044438772,15,npp,colesie2018
2_colesie2018,green algae,neutral,-62,aurantiaco-atra,-9.739130400000001e-5,39.18459605453426,23,npp,colesie2018
3_colesie2018,cyanobacteria,neutral,-62,contortuplicata,1.5304347839999999e-4,41.720359955241136,5,npp,colesie2018
3_colesie2018,cyanobacteria,neutral,-62,contortuplicata,1.8782608679999998e-4,40.27249044438772,15,npp,colesie2018
3_colesie2018,cyanobacteria,neutral,-62,contortuplicata,1.04347824e-5,39.18459605453426,23,npp,colesie2018
1_delprado_1995,green algae,neutral,36.834,lacunosus,-4.977412727999999e-8,42.4840495022893,0,npp,delprado_1995
1_delprado_1995,green algae,neutral,36.834,lacunosus,-7.93429158e-8,41.720359955241136,5,npp,delprado_1995
1_delprado_1995,green algae,neutral,36.834,lacunosus,-1.2665297736e-7,40.9836416088657,10,npp,delprado_1995
1_delprado_1995,green algae,neutral,36.834,lacunosus,-3.0997946615999997e-7,40.27249044438772,15,npp,delprado_1995
1_delprado_1995,green algae,neutral,36.834,lacunosus,-4.341683778e-7,39.58559823145258,20,npp,delprado_1995
1_delprado_1995,green algae,neutral,36.834,lacunosus,-4.814784394799999e-7,38.92174449622782,25,npp,delprado_1995
1_delprado_1995,green algae,neutral,36.834,lacunosus,-5.1104722788e-7,38.27978928434875,30,npp,delprado_1995
9_delprado_1995,green algae,neutral,36.834,bourgeana,-5.625383831999999e-8,42.4840495022893,0,npp,delprado_1995
9_delprado_1995,green algae,neutral,36.834,bourgeana,-8.573183207999999e-8,41.720359955241136,5,npp,delprado_1995
9_delprado_1995,green algae,neutral,36.834,bourgeana,-1.5647901743999996e-7,40.9836416088657,10,npp,delprado_1995
9_delprado_1995,green algae,neutral,36.834,bourgeana,-2.8912998971999993e-7,40.27249044438772,15,npp,delprado_1995
9_delprado_1995,green algae,neutral,36.834,bourgeana,-4.5420675539999995e-7,39.58559823145258,20,npp,delprado_1995
